N	3gram	Losev_Dial_2	Literetu
1	в том что	6	11
2	так или иначе	2	8
3	то же время	4	5
4	в то же	3	5
5	в данном случае	2	4
6	не только в	2	4
7	в связи с	4	4
8	в силу своей	2	3
9	и прежде всего	2	3
10	не говоря уже	2	2
11	подобно тому как	1	2
12	с точки зрения	8	2
13	в этом отношении	1	2
14	и то что	1	2
15	ту или иную	1	2
16	в виду не	1	2
17	с одной стороны	1	2
18	но при этом	1	2
19	во всяком случае	2	2
20	о том что	4	2
21	тем не менее	2	2
22	не в состоянии	2	1
23	такова же и	1	1
24	только потому что	1	1
25	в последнее время	1	1
26	иметь в виду	2	1
27	мы никогда не	1	1
28	на самом деле	1	1
29	с поэзией в	1	1
30	том что он	1	1
31	имеется в виду	2	1
32	но в силу	1	1
33	и не только	5	1
34	как это было	2	1
35	в зависимости от	2	1
36	бы то ни	1	1
37	и в литературе	1	1
38	а только лишь	1	1
39	не есть ли	4	1
40	по крайней мере	9	1
41	то в чем	1	1
42	жизни и в	1	1
43	и в частности	2	1
44	в это время	1	1
45	а не только	1	1
46	в самом деле	3	1
47	на первый взгляд	1	1
48	на задний план	1	1
49	как это вполне	1	1
50	говоря уже о	2	1
51	и в этом	1	1
52	в своей свободе	1	1
53	и по этой	2	1
54	так как будто	3	1
55	все более и	1	1
56	тех пор пока	1	1
57	с другой стороны	4	1
58	не может быть	3	1
59	именно в том	1	1
60	только то что	4	1
61	нельзя сказать что	2	1
62	до тех пор	1	1
63	до сих пор	2	1
64	с самого начала	2	1
65	не только на	1	1
66	более и более	1	1
67	но все же	1	1
68	прежде всего это	1	1
69	может и не	1	1
70	это еще не	1	1
71	на всю жизнь	1	1
72	к тому же	1	1
73	не нуждается в	3	1
74	внутреннего и внешнего	2	1
