N	2gram	Medvedev_B_1	Marksizm
1	и в	1	19
2	и не	2	19
3	таким образом	1	14
4	не только	1	13
5	так и	1	10
6	в пределах	1	10
7	а не	1	9
8	отнюдь не	1	8
9	прежде всего	1	7
10	на самом	1	7
11	и более	1	7
12	все же	1	5
13	совершенно не	1	5
14	и на	1	5
15	тем более	1	5
16	в данном	1	5
17	и ее	1	4
18	должна быть	1	4
19	было бы	1	4
20	еще не	1	3
21	во всяком	1	3
22	не было	1	3
23	в своей	1	3
24	одной из	1	3
25	за пределы	1	3
26	у нас	3	3
27	в ней	2	3
28	с другой	1	3
29	в значительной	1	2
30	вопрос о	1	2
31	крайней мере	1	2
32	далеко не	1	2
33	что в	1	2
34	между ними	1	2
35	и потому	1	2
36	и о	1	2
37	до конца	1	2
38	всяком случае	1	2
39	значительной степени	1	2
40	установка на	1	2
41	по крайней	1	2
42	является только	1	2
43	не следует	1	2
44	в речи	1	2
45	не все	1	1
46	говорить о	1	1
47	включать в	1	1
48	все это	2	1
49	этим вопросам	1	1
50	забывать что	1	1
51	от значения	1	1
52	по нашему	1	1
53	из ее	1	1
54	теоретической и	1	1
55	же не	1	1
56	говорить об	1	1
57	на которой	1	1
58	имеющихся в	1	1
59	и нет	1	1
60	со всем	1	1
61	то нельзя	1	1
62	оно сплошь	1	1
63	не о	1	1
64	что все	1	1
65	другой стороны	1	1
66	также что	1	1
67	также не	1	1
68	кроме того	1	1
69	его не	1	1
70	еще лучше	1	1
71	представляется нам	1	1
