N	2gram	Savitsky_E_1	TeoriaLi
1	в мире	2	24
2	не только	18	18
3	в качестве	14	17
4	тогда как	1	16
5	и не	14	16
6	а в	2	14
7	состоит в	1	13
8	и в	37	13
9	в частности	5	13
10	то есть	6	12
11	так и	10	12
12	может быть	6	12
13	в этом	12	11
14	представляет собой	3	11
15	при этом	1	11
16	в том	11	11
17	но не	5	10
18	и его	1	10
19	а не	2	10
20	то же	15	9
21	в его	2	9
22	по отношению	1	8
23	сводится к	1	8
24	но и	14	8
25	что в	21	8
26	отличие от	1	7
27	в себе	9	7
28	том что	6	7
29	точки зрения	23	7
30	в отличие	1	7
31	в то	16	7
32	по своей	2	7
33	во второй	3	7
34	только в	9	7
35	как это	4	7
36	в данном	3	7
37	с его	1	6
38	но в	14	6
39	лишь в	1	6
40	место в	3	6
41	же время	14	6
42	как бы	6	6
43	данном случае	2	5
44	в рамках	1	5
45	в своем	14	5
46	в самом	4	5
47	он не	2	5
48	в принципе	1	5
49	того или	4	5
50	как и	7	5
51	не в	5	5
52	тем самым	5	5
53	в нем	1	5
54	в ее	8	5
55	в пределах	25	5
56	или иной	4	5
57	а также	7	5
58	между тем	8	5
59	не сводится	1	5
60	уже не	1	5
61	с другой	7	5
62	как в	3	5
63	или иного	4	5
64	между ними	2	5
65	по преимуществу	2	4
66	говорить о	1	4
67	хотя и	2	4
68	всего лишь	3	4
69	то что	6	4
70	в своей	8	4
71	в их	11	4
72	или менее	1	4
73	не менее	1	4
74	можно сказать	4	4
75	и ее	1	4
76	мира и	3	4
77	в свою	3	4
78	сказать что	4	4
79	не может	9	4
80	более или	1	4
81	и то	2	3
82	являет собой	1	3
83	например в	1	3
84	в сторону	2	3
85	и к	3	3
86	все эти	1	3
87	в нашем	1	3
88	в этой	2	3
89	и по	5	3
90	этом смысле	3	3
91	мог бы	2	3
92	и сам	1	3
93	в этих	2	3
94	в отношении	32	3
95	никогда не	3	3
96	потому что	3	3
97	той или	4	3
98	свою очередь	2	3
99	другой стороны	2	3
100	в порядке	2	3
101	и что	2	3
102	входит в	1	3
103	того что	7	3
104	для него	1	3
105	с ее	1	3
106	именно в	4	3
107	прежде всего	9	3
108	в соответствии	1	3
109	и потому	5	3
110	по своему	7	3
111	этого слова	1	3
112	для возникновения	1	3
113	мира в	4	3
114	к которому	1	3
115	таким образом	2	3
116	или в	2	3
117	в основе	1	3
118	отношении к	15	3
119	того же	3	2
120	и это	1	2
121	тех или	1	2
122	перед лицом	1	2
123	на себя	3	2
124	в сочетании	1	2
125	между собой	2	2
126	чем это	1	2
127	но как	2	2
128	способность к	1	2
129	за пределы	1	2
130	человеческого бытия	1	2
131	в противном	1	2
132	и как	2	2
133	но на	3	2
134	противном случае	1	2
135	этом мире	1	2
136	или иных	1	2
137	тем в	3	2
138	единое целое	1	2
139	об этом	1	2
140	и иных	1	2
141	некоторые иные	1	2
142	и тем	3	2
143	к области	1	2
144	на уровне	2	2
145	соответствии с	1	2
146	вовсе не	6	2
147	и того	2	2
148	иначе говоря	2	2
149	и некоторые	3	2
150	одного и	1	2
151	с точки	17	2
152	от себя	1	2
153	к такой	2	2
154	в культуре	3	2
155	по себе	4	2
156	даже в	4	2
157	и притом	4	2
158	казалось бы	1	2
159	как будто	2	2
160	и для	3	2
161	для такого	1	2
