N	2gram	Trubetskoy_1	Analitik
1	в качестве	3	31
2	может быть	9	29
3	в том	17	27
4	не может	22	22
5	и не	19	21
6	в частности	2	19
7	и в	14	18
8	но и	10	17
9	а не	2	17
10	отнюдь не	7	15
11	не только	9	15
12	тогда как	2	14
13	не в	4	14
14	в этом	17	13
15	как и	4	13
16	в его	4	13
17	при этом	5	12
18	том что	9	12
19	в себе	9	11
20	то есть	1	11
21	состоит в	2	11
22	но не	4	10
23	то же	11	9
24	иначе говоря	1	9
25	в то	10	9
26	а в	5	9
27	есть не	1	8
28	в принципе	1	8
29	в мире	4	8
30	но в	2	8
31	не есть	3	8
32	том чтобы	3	7
33	тем самым	2	7
34	к тому	7	7
35	этого слова	1	7
36	в сущности	1	6
37	по отношению	2	6
38	в самом	3	6
39	это не	1	6
40	точки зрения	11	6
41	в своей	5	6
42	в основе	1	6
43	по своей	1	6
44	той или	3	6
45	должен быть	1	6
46	в себя	1	6
47	же время	10	6
48	только в	5	6
49	себя в	4	6
50	то что	13	6
51	или иной	5	6
52	прежде всего	8	6
53	в их	4	5
54	и на	5	5
55	иное как	1	5
56	и как	3	5
57	в этой	4	5
58	лишь в	3	5
59	о том	7	5
60	сводится к	3	5
61	и того	1	5
62	между тем	5	5
63	как бы	4	5
64	отношению к	1	5
65	и состоит	2	5
66	что в	4	5
67	того же	1	4
68	столь же	1	4
69	все же	4	4
70	тому же	1	4
71	не следует	1	4
72	с другими	1	4
73	не всегда	1	4
74	с точки	9	4
75	и другого	1	4
76	и более	2	4
77	по себе	2	4
78	в области	2	4
79	ни в	2	4
80	могут быть	1	4
81	так и	1	4
82	с ним	2	4
83	лишь при	5	4
84	в другом	3	4
85	с другой	1	4
86	того что	3	4
87	уже не	2	4
88	для того	6	4
89	именно в	3	4
90	себя и	5	4
91	вместе с	4	4
92	человека к	1	4
93	из которых	5	4
94	ни было	1	4
95	и т	3	3
96	и есть	2	3
97	место в	2	3
98	в полной	1	3
99	бы то	4	3
100	если в	6	3
101	и к	6	3
102	в нем	5	3
103	он не	5	3
104	вследствие этого	1	3
105	в силу	2	3
106	таким образом	11	3
107	то ни	4	3
108	не будет	7	3
109	полной мере	1	3
110	того или	2	3
111	даже в	1	3
112	в котором	2	3
113	того чтобы	8	3
114	того и	1	3
115	в таком	2	3
116	как будто	2	3
117	не могут	4	3
118	в состав	1	3
119	оно может	1	3
120	могла бы	1	3
121	в собственном	1	3
122	если бы	6	3
123	к нему	2	3
124	еще не	3	3
125	вопроса о	1	3
126	что и	3	3
127	принципиально не	1	3
128	а с	2	3
129	что не	1	3
130	быть не	1	3
131	она может	3	3
132	которая в	1	3
133	и все	1	3
134	хотя бы	5	3
135	что он	6	3
136	или иного	2	3
137	том числе	1	3
138	говоря о	2	2
139	отношения к	2	2
140	самом деле	7	2
141	на самом	6	2
142	он может	1	2
143	также и	1	2
144	на место	1	2
145	на себя	2	2
146	и то	4	2
147	между собой	5	2
148	данном случае	3	2
149	не просто	2	2
150	нет и	1	2
151	не являются	1	2
152	то в	3	2
153	в которой	1	2
154	все эти	2	2
155	бы не	1	2
156	из этих	3	2
157	на его	1	2
158	от которого	1	2
159	одному из	2	2
160	не к	2	2
161	собой не	1	2
162	и по	3	2
163	или иных	1	2
164	и с	7	2
165	самим собой	12	2
166	на все	1	2
167	из них	3	2
168	вовсе не	1	2
169	так как	4	2
170	несмотря на	3	2
171	для чего	1	2
172	обозначить как	1	2
