N	2gram	Medvedev_S_1	Literetu
1	не только	3	24
2	но и	2	17
3	в том	5	16
4	в частности	2	15
5	том что	2	14
6	может быть	2	13
7	и не	1	12
8	в этом	5	12
9	прежде всего	1	11
10	то что	2	10
11	не в	3	8
12	в целом	1	8
13	только в	2	8
14	и в	3	8
15	как бы	2	7
16	я и	1	7
17	в его	3	7
18	как и	1	6
19	связи с	1	6
20	же время	1	5
21	не может	1	5
22	то же	2	5
23	в то	1	5
24	в конечном	1	5
25	что он	1	5
26	в данном	1	5
27	все же	1	4
28	еще не	2	4
29	в связи	1	4
30	так и	1	4
31	в конце	2	4
32	в своей	1	4
33	для этого	1	4
34	но не	1	4
35	это не	1	4
36	никогда не	1	4
37	и его	1	4
38	в силу	1	4
39	конечном счете	1	4
40	в этой	1	4
41	столь же	1	4
42	во всяком	1	3
43	еще и	1	3
44	не было	1	3
45	таким образом	2	3
46	и есть	1	3
47	ли не	1	3
48	а в	1	3
49	его в	1	3
50	что в	2	3
51	более чем	3	3
52	по отношению	2	3
53	один из	1	3
54	у него	1	3
55	далеко не	2	3
56	с другой	1	3
57	как совокупность	1	3
58	в области	1	3
59	тем же	1	3
60	все эти	1	2
61	же это	1	2
62	отношению к	2	2
63	это как	1	2
64	должна быть	2	2
65	даже в	1	2
66	хотя бы	1	2
67	дело не	2	2
68	объекта и	1	2
69	и только	3	2
70	между тем	1	2
71	за пределы	2	2
72	в мире	1	2
73	отнюдь не	1	2
74	в сущности	1	2
75	только то	1	2
76	более не	1	2
77	всяком случае	1	2
78	тем что	1	2
79	одной стороны	1	2
80	с одной	1	2
81	о том	1	2
82	тем более	2	2
83	было бы	2	2
84	как будто	2	2
85	чуть ли	1	2
86	бы они	1	1
87	а вот	1	1
88	для изучения	1	1
89	наше время	1	1
90	для нас	3	1
91	художественных произведений	1	1
92	или не	1	1
93	перейти к	1	1
94	искусство слова	1	1
95	в них	1	1
96	ни были	1	1
97	может служить	1	1
98	крайней мере	1	1
99	выходит за	1	1
100	вовсе не	1	1
101	в виде	1	1
102	себе из	1	1
103	быть не	1	1
104	нужно было	2	1
105	наконец в	1	1
106	в каждом	1	1
107	право на	1	1
108	историю литературы	1	1
109	мы не	1	1
110	этом не	1	1
111	необходимо быть	1	1
112	только поэзия	1	1
113	в этих	1	1
114	сколь и	1	1
115	иначе говоря	1	1
116	как то	1	1
117	о литературе	3	1
118	все то	1	1
119	произведение как	1	1
120	но только	1	1
121	исторической жизни	2	1
122	между ними	1	1
123	вот в	1	1
124	к изучению	1	1
125	не выходит	1	1
126	они не	1	1
127	только как	2	1
128	но как	1	1
129	и мы	2	1
130	в чем	1	1
131	и о	1	1
132	литературе и	1	1
133	в литературоведении	2	1
134	литературы на	1	1
135	очевидно что	2	1
136	а с	1	1
137	литературы как	1	1
138	представить себе	1	1
139	системы как	1	1
140	на первый	1	1
141	но сам	1	1
142	в котором	1	1
143	по крайней	1	1
144	не мешает	1	1
145	именно в	1	1
146	стиля как	1	1
147	не от	1	1
148	и будет	1	1
149	и что	2	1
150	лучшем случае	1	1
151	в наше	1	1
152	стихотворении или	1	1
153	творчество в	1	1
154	данном стихотворении	1	1
155	только для	1	1
156	по существу	2	1
157	чтобы сделаться	1	1
158	между собою	1	1
159	никак не	1	1
160	и более	1	1
161	он говорит	1	1
162	перед нами	1	1
163	ни на	1	1
164	в лучшем	1	1
165	и как	1	1
166	и по	1	1
167	на основании	1	1
