N	3gram	Bakhtin_Fr_6	DiskursI
1	в данном случае	2	6
2	в том что	2	6
3	то же время	5	5
4	по отношению к	1	4
5	в этом отношении	3	4
6	в то же	5	4
7	с одной стороны	4	4
8	не может быть	1	3
9	о том что	5	3
10	той или иной	1	3
11	и того же	1	2
12	одной стороны и	2	2
13	в обоих случаях	1	2
14	что же касается	1	2
15	с точки зрения	2	2
16	между жизнью и	1	2
17	в основе своей	1	2
18	еще в одном	1	2
19	и то что	2	2
20	жизнью и смертью	1	2
21	и как бы	1	2
22	дело в том	1	2
23	и прежде всего	2	2
24	одного и того	1	2
25	в другом месте	4	1
26	том что в	1	1
27	и смертью в	1	1
28	в той или	1	1
29	другой стороны в	1	1
30	в самом деле	4	1
31	и там где	1	1
32	с другой стороны	2	1
33	до известной степени	1	1
34	жизни и смерти	2	1
35	и т.п но	3	1
36	только то что	1	1
37	а с другой	1	1
38	именно в этом	1	1
39	в предыдущей главе	2	1
40	в значительной степени	1	1
41	верха и низа	1	1
42	не совпадает с	1	1
43	между вещами и	1	1
44	и строго отграниченная	1	1
45	не может так	1	1
46	а также и	2	1
47	во втором случае	3	1
48	а не как	1	1
49	каждый из них	2	1
50	до нас не	3	1
51	лишь в одном	1	1
52	между тем как	1	1
53	та или иная	1	1
54	во внешнем мире	1	1
55	в одном из	1	1
56	то есть в	2	1
57	можно сказать что	1	1
58	существенную роль в	2	1
59	или иной мере	1	1
60	в большинстве случаев	4	1
61	о том какое	2	1
62	особое отношение к	1	1
63	в себе самом	1	1
64	все то что	4	1
