N	2gram	Vinokur_St_3	Russkaja
1	не может	7	22
2	и не	10	19
3	в том	20	17
4	в этом	24	17
5	и в	25	14
6	то что	12	13
7	самим собой	1	12
8	то же	5	11
9	точки зрения	7	11
10	таким образом	10	11
11	в то	7	10
12	же время	3	10
13	но и	9	10
14	не только	12	9
15	том что	15	9
16	с точки	4	9
17	может быть	19	9
18	во всяком	4	9
19	того чтобы	1	8
20	прежде всего	10	8
21	как на	6	8
22	самом деле	2	7
23	и если	3	7
24	и с	4	7
25	в данном	1	7
26	к тому	2	7
27	россии в	1	7
28	стремление к	1	7
29	о том	8	7
30	если в	2	6
31	в своем	1	6
32	и к	4	6
33	в россии	6	6
34	с тем	4	6
35	в своих	8	6
36	и при	1	6
37	если бы	4	6
38	все это	8	6
39	и для	4	6
40	для того	2	6
41	что он	19	6
42	всяком случае	4	6
43	для всех	1	6
44	для него	3	6
45	на самом	1	6
46	вопрос о	1	5
47	и на	6	5
48	между собой	1	5
49	во всех	2	5
50	на то	5	5
51	в нем	1	5
52	он не	5	5
53	он должен	1	5
54	было бы	7	5
55	в своей	4	5
56	никогда не	2	5
57	потому что	5	5
58	между тем	6	5
59	а потому	2	5
60	и только	2	5
61	только в	6	5
62	хотя бы	1	5
63	конечно не	1	5
64	в последние	1	5
65	или иной	2	5
66	до сих	2	5
67	себя и	2	5
68	из которых	4	5
69	по существу	1	5
70	сих пор	2	5
71	а в	6	5
72	и то	1	4
73	смотреть на	1	4
74	но не	2	4
75	все же	4	4
76	более или	1	4
77	не в	6	4
78	в этой	14	4
79	что такой	1	4
80	его в	1	4
81	как и	4	4
82	или менее	1	4
83	в их	3	4
84	точку зрения	2	4
85	тогда когда	2	4
86	а лишь	1	4
87	к соединению	1	4
88	от того	2	4
89	приводит к	1	4
90	можно было	1	4
91	и т.д	1	4
92	в его	12	4
93	национальную культуру	1	4
94	так как	3	4
95	со стороны	3	4
96	вместе с	2	4
97	что же	1	4
98	как бы	6	4
99	к вопросу	1	4
100	жизни и	1	4
101	что в	19	4
102	к этой	2	4
103	все что	1	4
104	вряд ли	1	3
105	и т	8	3
106	сил и	1	3
107	то в	4	3
108	и этот	1	3
109	к народу	1	3
110	так чтобы	2	3
111	говорить о	3	3
112	и ни	2	3
113	еще не	2	3
114	из этих	6	3
115	россии и	2	3
116	что они	2	3
117	в самом	2	3
118	что это	16	3
119	на том	1	3
120	был и	1	3
121	и по	2	3
122	в другом	3	3
123	лишь в	4	3
124	о которых	3	3
125	несмотря на	3	3
126	должно быть	1	3
127	всех этих	3	3
128	том чтобы	2	3
129	одна из	2	3
130	политической или	1	3
131	связи с	3	3
132	то это	1	3
133	той или	1	3
134	приходит к	1	3
135	что все	3	3
136	для этого	2	3
137	может не	1	3
138	в значительной	1	3
139	вопросу о	1	3
140	и во	2	3
141	что и	1	3
142	в лучшем	1	3
143	того что	5	3
144	одной из	2	3
145	в качестве	4	3
146	с нею	1	3
147	в виде	3	3
148	из них	1	3
149	в конце	6	3
150	друг друга	1	3
151	тем что	19	3
152	именно в	1	3
153	что для	3	3
154	не было	4	3
155	лучшем случае	1	3
156	или в	2	3
157	о котором	1	3
158	конце концов	3	3
159	и как	1	3
160	все они	3	3
161	из этого	4	3
162	речь идет	2	2
163	должна быть	1	2
164	видеть в	1	2
165	этом направлении	1	2
166	из всех	1	2
167	на себя	1	2
168	в ней	4	2
169	именно на	1	2
170	не просто	2	2
171	с этим	7	2
172	последнее время	1	2
173	целый ряд	1	2
174	и наконец	3	2
175	но в	5	2
176	не можем	1	2
177	их общей	1	2
178	это есть	4	2
