N	3gram	Nazirov_Vr_1	Tragedij
1	то же время	4	5
2	в то же	4	5
3	преступлении и наказании	1	2
4	точно так же	1	2
5	в преступлении и	1	2
6	отцы и дети	2	2
7	достоевский в бесах	2	2
8	но в то	2	2
9	в году в	2	2
10	по сей день	1	2
11	о том что	1	2
12	и в самом	1	2
13	из мертвого дома	1	2
14	в том что	2	2
15	и стал смотреть	1	1
16	а между тем	1	1
17	мертвого дома и	1	1
18	составляет самую суть	1	1
19	романа отцы и	1	1
20	в период создания	1	1
21	я очень хорошо	1	1
22	и не может	1	1
23	петра верховенского в	1	1
24	роман достоевского и	1	1
25	в той же	1	1
26	в романе бесы	2	1
27	но как в	1	1
28	в третий раз	1	1
29	и то что	1	1
30	записках из подполья	1	1
31	в декабре года	1	1
32	во всяком случае	1	1
33	в высшей степени	1	1
34	в конце концов	1	1
35	но при этом	1	1
36	по нашему мнению	1	1
37	в году и	2	1
38	и в этом	1	1
39	тем не менее	1	1
40	то что достоевский	1	1
41	сравняться с ним	1	1
42	петра верховенского с	1	1
43	все же не	1	1
44	в связи с	3	1
45	он сказал что	1	1
46	это же время	1	1
47	и даже некоторые	1	1
48	у себя на	1	1
49	не может быть	2	1
50	на ранней стадии	1	1
51	отцов и детей	4	1
52	роману отцы и	1	1
53	и все же	5	1
54	в это же	1	1
55	это и есть	1	1
56	что в ней	1	1
57	же время с	1	1
58	не только не	1	1
59	уже в году	1	1
60	именно в связи	1	1
61	ему в лицо	1	1
62	это не просто	1	1
