N	3gram	Tiupa_Disk_1	Komedia
1	до сих пор	1	9
2	в том что	13	9
3	в свою очередь	3	6
4	в то же	3	4
5	о том что	5	4
6	то же время	4	4
7	с самого начала	1	4
8	к тому же	4	4
9	по отношению к	9	3
10	о том как	1	3
11	с точки зрения	1	3
12	вместе с тем	1	3
13	в связи с	1	3
14	во всяком случае	1	3
15	речь идет о	1	3
16	с одной стороны	9	3
17	тем не менее	1	3
18	то же самое	2	3
19	состоит в том	2	2
20	в этом случае	1	2
21	что он не	1	2
22	в этом отношении	1	2
23	с другой стороны	3	2
24	в конечном счете	1	2
25	но все же	1	2
26	в известной степени	1	2
27	трагедии и в	1	2
28	тем же словом	1	1
29	и тому же	1	1
30	как уже говорилось	1	1
31	одной из сторон	1	1
32	более или менее	2	1
33	в нем только	1	1
34	не говоря уже	2	1
35	прежде всего это	1	1
36	подобно тому как	2	1
37	в том числе	2	1
38	х годов в	1	1
39	в соответствии с	2	1
40	одной стороны и	2	1
41	к одной из	1	1
42	событие о котором	1	1
43	говоря уже о	2	1
44	и в то	1	1
45	не было и	1	1
46	они принадлежат к	1	1
47	то что и	1	1
48	в отличие от	4	1
49	в первую очередь	1	1
50	к точке зрения	1	1
51	и не может	1	1
52	на то что	1	1
53	по крайней мере	2	1
54	и далеко не	1	1
55	еще не знает	1	1
56	на мой взгляд	2	1
57	к себе и	1	1
58	кто из вас	1	1
59	таким же образом	1	1
60	едва ли не	2	1
61	в том чтобы	2	1
62	далеко не всегда	1	1
63	том что человек	1	1
64	не сводится к	2	1
65	одной стороны он	1	1
66	следует понимать как	1	1
67	но при этом	3	1
68	к лицу с	1	1
69	vi в и	1	1
70	свою принадлежность к	1	1
71	к мысли что	1	1
72	как и всякий	1	1
73	так и в	1	1
74	можно сказать что	2	1
75	и тем более	1	1
76	в основе своей	2	1
77	к одному и	1	1
78	по своему происхождению	2	1
79	о котором он	1	1
80	к этому времени	1	1
81	тому как мы	1	1
82	сводится к одной	1	1
83	лицом к лицу	1	1
84	одному и тому	1	1
85	том числе и	2	1
86	в свое время	1	1
