N	2gram	Vinokur_Ku_2	Myslijsy
1	потому что	25	52
2	и в	23	39
3	в языке	10	33
4	может быть	15	27
5	в том	19	26
6	только в	5	25
7	не может	9	22
8	что в	10	22
9	так как	15	21
10	а не	10	21
11	не только	20	21
12	в нем	4	20
13	но и	7	20
14	и не	16	18
15	языка и	8	17
16	язык есть	1	17
17	так что	1	16
18	что язык	1	16
19	том что	11	16
20	не в	8	15
21	в этом	18	15
22	если бы	12	14
23	в себе	1	13
24	так и	4	13
25	таким образом	5	13
26	по отношению	1	13
27	было бы	15	12
28	точно так	3	11
29	мы не	1	10
30	по себе	10	10
31	а потому	1	10
32	то что	9	10
33	как в	3	10
34	что не	6	10
35	речи и	5	10
36	и что	8	10
37	не есть	1	10
38	для нас	4	9
39	тогда когда	1	9
40	тем что	3	9
41	могут быть	4	9
42	но в	11	9
43	как и	2	9
44	язык в	2	8
45	точки зрения	14	8
46	в одном	1	8
47	но не	6	8
48	вместе с	5	8
49	того что	3	8
50	в слове	1	8
51	со стороны	4	8
52	должны быть	2	7
53	то и	3	7
54	на язык	1	7
55	в ней	3	7
56	по его	1	7
57	это не	6	7
58	в этих	1	7
59	себе представить	1	7
60	с этим	3	7
61	должно быть	4	7
62	с другой	8	7
63	все же	7	6
64	еще не	5	6
65	не менее	7	6
66	в каком	4	6
67	что на	4	6
68	независимо от	1	6
69	и т	39	6
70	что и	3	6
71	то же	6	6
72	языка с	1	6
73	тем не	6	6
74	при этом	2	6
75	между собою	1	6
76	того как	2	6
77	языка в	3	6
78	и как	1	6
79	и по	3	6
80	как бы	4	6
81	так же	4	5
82	и для	2	5
83	вовсе не	9	5
84	быть только	2	5
85	с тем	2	5
86	то в	1	5
87	языка как	2	5
88	между тем	6	5
89	в его	5	5
90	не видно	1	5
91	не имеет	4	5
92	и его	3	5
93	только тогда	1	5
94	и потому	2	5
95	другой стороны	7	5
96	язык и	2	5
97	а в	3	5
98	несмотря на	5	5
99	если же	1	5
100	не следует	5	5
101	язык не	2	5
102	языка не	2	5
103	но это	3	5
104	бы быть	1	4
105	бы в	1	4
106	же время	3	4
107	языка то	1	4
108	на деле	1	4
109	вопрос о	9	4
110	прежде всего	8	4
111	есть нечто	1	4
112	т п	24	4
113	не было	4	4
114	там где	5	4
115	а только	3	4
116	для него	1	4
117	в то	4	4
118	тем самым	2	4
119	этом смысле	5	4
120	не более	2	4
121	быть не	2	4
122	мысли о	1	4
123	к тому	4	4
124	его мнению	1	4
125	мы видели	2	4
126	и даже	2	4
127	из этих	1	4
128	слов и	2	4
129	во всем	1	4
130	свою очередь	2	4
131	том смысле	1	4
132	а так	1	4
133	в каждом	1	4
134	от того	4	4
135	само по	5	4
136	слова и	5	4
137	т д	14	4
138	не могут	5	4
139	в действительности	1	4
140	в своих	2	4
141	однако в	1	4
142	никогда не	2	4
143	что мы	6	4
144	смысле в	1	4
145	в свою	2	4
146	что по	1	3
147	прежде чем	1	3
148	словом но	1	3
149	в основании	2	3
150	что можно	3	3
151	и с	7	3
152	языка но	3	3
153	во всяком	5	3
154	того же	3	3
155	одной стороны	1	3
156	что как	1	3
157	ни были	3	3
158	как на	1	3
159	связи с	3	3
160	и их	1	3
161	должна быть	5	3
162	более как	1	3
163	она может	1	3
164	и все	2	3
165	нужно было	1	3
166	что это	7	3
167	и вообще	2	3
168	не так	1	3
169	только из	1	3
170	и без	1	3
171	в этой	6	3
172	в своей	2	3
173	и при	1	3
174	с и	1	3
175	одно из	1	3
176	оно и	1	3
177	каким образом	1	3
178	или даже	1	3
179	не мог	1	3
180	или же	2	3
181	что слово	3	3
182	но как	1	3
183	явлений и	1	3
184	хотя и	4	3
185	то не	2	3
186	с точки	8	3
187	сама по	1	3
188	во внимание	1	3
189	противном случае	1	3
190	начнем с	1	3
191	что если	2	3
192	то ни	1	3
193	о котором	2	3
194	мы должны	2	3
195	в противном	1	3
196	и от	2	3
197	к этой	3	3
198	для того	9	3
199	она не	2	3
200	сказать что	4	3
201	относится к	1	3
202	оно не	2	3
203	той же	2	3
204	что для	2	3
205	представить себе	2	3
206	очевидно что	2	3
207	что все	5	3
208	по мнению	1	3
209	могло бы	1	3
210	по поводу	2	3
211	в них	4	3
212	понятия и	1	3
213	и тем	5	3
214	только потому	8	3
215	с одной	2	3
216	тому что	1	3
217	и той	1	3
218	в самом	12	3
219	есть вместе	2	3
220	но оно	2	3
221	он не	3	3
222	языка можно	1	3
223	помнить что	1	3
224	когда в	2	3
225	столь же	1	3
226	с самого	1	3
227	только для	2	3
228	все более	1	3
229	в глазах	2	3
230	и то	5	3
231	до сознания	1	3
232	если мы	4	3
233	в самой	2	3
234	одной и	1	3
235	заключается в	2	3
236	и это	3	3
237	так например	1	3
238	самого начала	1	3
239	в своем	2	3
240	если и	3	2
241	то мы	1	2
242	они ни	1	2
243	не могла	1	2
244	для всякого	1	2
245	в которой	1	2
246	о которых	3	2
247	когда мы	1	2
248	как мы	3	2
249	но с	1	2
250	есть дело	1	2
251	на себе	4	2
252	и только	1	2
253	нам и	2	2
254	но он	1	2
255	но дело	1	2
256	или в	4	2
257	ни одна	1	2
258	в целом	1	2
259	бы то	1	2
260	могла бы	2	2
261	не будет	1	2
262	же в	3	2
263	за тем	1	2
264	крайней мере	6	2
265	что такая	1	2
266	языка по	1	2
