N	3gram	Losev_Vesc_1	Tvorches
1	и т д	19	11
2	в то же	1	7
3	до сих пор	1	3
4	не может быть	6	3
5	в самом деле	4	2
6	по крайней мере	4	2
7	так же как	1	2
8	от ее носителя	1	2
9	все же не	1	2
10	во всяком случае	2	2
11	с другой стороны	2	2
12	о том что	4	2
13	в том что	4	2
14	таким образом чтобы	1	1
15	ничего не говорит	1	1
16	дело в том	2	1
17	и потому что	1	1
18	о том как	1	1
19	одна из многих	1	1
20	т д и	5	1
21	как личность как	2	1
22	но замечательнее всего	1	1
23	сами по себе	3	1
24	а не то	2	1
25	нужно сказать что	1	1
26	можно было бы	1	1
27	д все это	1	1
28	не то что	1	1
29	это я делаю	1	1
30	только потому что	1	1
31	в том смысле	1	1
32	в применении к	1	1
33	только то что	2	1
34	как будто бы	1	1
35	еще ничего не	1	1
36	души и т	1	1
37	в чем же	3	1
38	это одна из	1	1
39	в свою очередь	4	1
40	я не буду	1	1
41	это не значит	1	1
42	не только потому	1	1
43	т д все	1	1
44	что у него	1	1
45	отождествляется с ним	1	1
46	потому что они	3	1
47	ли что я	1	1
48	в то время	1	1
49	в нем нет	1	1
50	д и т	5	1
51	мы не можем	1	1
52	том смысле что	1	1
53	это и есть	1	1
54	то что не	2	1
55	но тот же	1	1
56	содержит в себе	4	1
57	себя самого в	1	1
58	не значит что	1	1
59	к самому себе	1	1
60	в дальнейшем но	1	1
61	что у нас	1	1
62	на то чтобы	1	1
