N	3gram	Nazirov_Tr_1	EvropaiC
1	в том что	2	16
2	а между тем	1	7
3	в самом деле	1	5
4	по сравнению с	1	5
5	в этом случае	1	4
6	не может быть	1	4
7	о том что	2	4
8	тем не менее	1	4
9	в конце концов	1	4
10	и то что	1	3
11	в данном случае	2	3
12	все же не	1	3
13	в связи с	1	3
14	том что он	1	2
15	как и все	1	2
16	то же время	5	2
17	во всяком случае	1	2
18	между этими двумя	2	2
19	как и в	1	2
20	но все же	2	2
21	в то же	5	2
22	все же являются	1	1
23	не только по	1	1
24	но при этом	1	1
25	и не может	1	1
26	и в дальнейшем	2	1
27	за то что	1	1
28	никакой роли в	1	1
29	точно так же	2	1
30	в самой природе	1	1
31	вместе с ними	1	1
32	это может быть	1	1
33	может быть не	1	1
34	все эти черты	1	1
35	в высшей степени	1	1
36	что в таком	1	1
37	а это было	1	1
38	вместо того чтобы	1	1
39	и все же	1	1
40	смысле этого слова	1	1
41	с самого начала	1	1
42	не только не	1	1
43	мысль о том	1	1
44	несмотря на все	1	1
45	к тому что	1	1
46	несмотря на всю	1	1
47	но и ко	1	1
48	в борьбе за	1	1
