N	3gram	Tiupa_Disk_1	SlovoVZh
1	по отношению к	9	11
2	не может быть	3	7
3	можно сказать что	2	5
4	дело в том	1	4
5	в том что	13	4
6	и не может	1	3
7	тем не менее	1	3
8	до сих пор	1	3
9	и то же	1	2
10	на самом деле	1	2
11	с другой стороны	3	2
12	то же самое	2	2
13	одной стороны и	2	2
14	с точки зрения	1	2
15	до известной степени	1	2
16	но отнюдь не	2	2
17	одно и то	1	2
18	в данном случае	2	2
19	с одной стороны	9	2
20	того о ком	1	1
21	социального взаимодействия трех	1	1
22	тех или иных	1	1
23	том что в	2	1
24	но все же	1	1
25	и тому же	1	1
26	здесь имеет место	1	1
27	имеем дело с	1	1
28	трех говорящего автора	1	1
29	читателя и того	1	1
30	но и вся	1	1
31	или о чем	1	1
32	мы имеем дело	2	1
33	о ком или	1	1
34	в этом направлении	1	1
35	одним и тем	1	1
36	более или менее	2	1
37	в науке о	2	1
38	во всяком случае	1	1
39	ком или о	1	1
40	в этом смысле	1	1
41	продукт социального взаимодействия	1	1
42	по себе не	2	1
43	можно определить как	2	1
44	в частности в	2	1
45	взаимодействия трех говорящего	1	1
46	чем говорят героя	1	1
47	только в организации	1	1
48	сам по себе	1	1
49	сами по себе	2	1
50	в свою очередь	3	1
51	науке о литературе	2	1
52	на этом основании	1	1
53	в истории литературы	1	1
54	о том что	5	1
55	только то что	1	1
56	в этом отношении	1	1
57	что не только	1	1
58	по аналогии с	1	1
59	и того о	1	1
60	с самого начала	1	1
61	в конечном счете	1	1
62	и прежде всего	1	1
63	то же время	4	1
64	подобно тому как	2	1
65	не может стать	1	1
66	в основе своей	2	1
67	в противном случае	1	1
68	о чем говорят	1	1
69	по крайней мере	2	1
70	в то же	3	1
71	говорит о том	1	1
72	не совпадают с	1	1
73	в том и	1	1
74	в значительной степени	2	1
75	на передний план	1	1
76	или не хочет	1	1
77	не только его	1	1
78	как и в	1	1
79	далеко не всегда	1	1
80	и тем же	1	1
81	к тому же	4	1
82	одному и тому	1	1
83	это прежде всего	3	1
84	может быть ни	1	1
