N	2gram	Tiupa_Teor_1	IolandNe
1	и не	13	2
2	должен быть	1	2
3	в этом	8	2
4	он не	3	2
5	что в	9	2
6	что для	1	1
7	все эти	2	1
8	точно и	1	1
9	с другой	7	1
10	о жизни	1	1
11	этого писателя	1	1
12	для него	2	1
13	того чтобы	1	1
14	того что	4	1
15	отношению к	4	1
16	и о	4	1
17	говорить о	3	1
18	без этого	1	1
19	в целом	3	1
20	для других	1	1
21	у и	2	1
22	это было	2	1
23	в художественном	3	1
24	с героем	1	1
25	так и	10	1
26	к нам	2	1
27	его личности	1	1
28	автора и	1	1
29	в основе	3	1
30	по отношению	4	1
31	себя в	6	1
32	и сам	1	1
33	по поводу	1	1
34	этим и	1	1
35	если бы	3	1
36	того же	3	1
37	с жизнью	1	1
38	а с	3	1
39	и чрезвычайно	1	1
40	и смыслы	1	1
41	в значительной	1	1
42	а также	6	1
43	для того	1	1
44	бы в	1	1
45	а в	13	1
46	по существу	1	1
47	и в	18	1
48	не случайно	5	1
49	ибо и	1	1
50	все это	2	1
51	на котором	1	1
52	такого знания	1	1
53	более чем	1	1
54	тем что	1	1
55	и др	1	1
56	я не	2	1
57	другой стороны	5	1
58	о ней	2	1
59	никогда не	4	1
60	в них	2	1
61	и без	1	1
62	художественного творчества	1	1
