N	2gram	Bakhtin_Pr_5	Hudozhes
1	в мире	4	23
2	в качестве	1	19
3	то есть	16	18
4	и не	27	16
5	в том	5	15
6	и в	35	15
7	не только	10	15
8	может быть	14	13
9	и его	14	12
10	при этом	2	12
11	а в	7	12
12	в себе	5	11
13	в этом	14	11
14	но не	6	11
15	я в	4	11
16	отношению к	7	10
17	так и	8	10
18	но и	14	10
19	то же	15	10
20	по отношению	6	10
21	а не	4	10
22	как бы	31	10
23	точки зрения	7	9
24	в его	21	9
25	сводится к	3	8
26	своего рода	2	8
27	себя в	2	8
28	в душе	2	8
29	я и	2	7
30	отличие от	2	7
31	в то	11	7
32	внутренней речи	5	7
33	в отличие	2	7
34	с другой	4	7
35	но в	19	7
36	или иной	4	7
37	приводит к	2	6
38	же время	10	6
39	не может	18	6
40	что в	6	6
41	не в	10	6
42	по своей	2	6
43	в ее	3	6
44	отношение к	6	6
45	в основе	1	6
46	с его	7	6
47	том что	3	6
48	с ее	3	5
49	можно сказать	1	5
50	в нем	16	5
51	в их	1	5
52	ни в	2	5
53	того что	3	5
54	между ними	1	5
55	то что	10	5
56	героя и	10	5
57	и т.п	6	5
58	уже не	3	5
59	другой стороны	3	5
60	в самом	6	5
61	только в	6	5
62	той или	4	5
63	не знает	6	4
64	в форме	3	4
65	еще не	7	4
66	в другом	12	4
67	входит в	1	4
68	хотя и	2	4
69	говорить о	3	4
70	прежде всего	12	4
71	самим собой	7	4
72	к которому	1	4
73	в своей	4	4
74	например в	2	4
75	для него	14	4
76	отношения к	1	4
77	между тем	4	4
78	к тому	6	4
79	в этих	2	4
80	сказать что	3	4
81	в слове	6	4
82	и т.д	3	4
83	без исключения	2	4
84	он не	13	4
85	как к	5	4
86	и то	5	4
87	роли в	1	4
88	и как	2	4
89	говорит и	1	3
90	и того	2	3
91	одно и	3	3
92	как и	18	3
93	в которой	2	3
94	но он	4	3
95	того же	1	3
96	и для	8	3
97	и ее	1	3
98	не менее	2	3
99	таким образом	7	3
100	в произведении	2	3
101	к нему	13	3
102	человека с	3	3
103	как раз	4	3
104	так в	2	3
105	того или	1	3
106	его в	4	3
107	этом смысле	3	3
108	в рассказе	2	3
109	потому что	8	3
110	что он	24	3
111	в той	4	3
112	это не	3	3
113	и к	12	3
114	мог бы	2	3
115	в целом	3	3
116	одного и	1	3
117	герой не	2	3
118	к его	1	3
119	лишь в	7	3
120	не на	1	3
121	в отношении	9	3
122	всех без	1	3
123	тем не	1	3
124	во всей	1	3
125	их в	2	3
126	и что	6	3
127	далеко не	1	3
128	с точки	2	3
129	не случайно	2	3
130	однако в	2	3
131	о чем	1	3
132	не следует	1	3
133	он должен	1	3
134	в пределах	11	3
135	в виду	3	3
136	если бы	1	3
137	в точке	1	3
138	по своему	4	3
139	в данном	1	3
140	в свою	1	3
141	во втором	1	3
142	все эти	3	2
143	что каждый	1	2
144	и позволяет	1	2
145	к герою	8	2
146	в значительной	1	2
147	но она	1	2
148	есть в	1	2
149	материала в	1	2
150	или в	2	2
151	одной из	2	2
152	так же	7	2
153	случае не	1	2
154	и больше	1	2
155	здесь не	1	2
156	вовсе не	7	2
157	в этой	1	2
158	мир все	1	2
159	с ним	7	2
160	при всей	1	2
161	в аспекте	1	2
162	даже в	5	2
163	на этом	2	2
164	бы не	2	2
165	или напротив	1	2
166	с другими	2	2
167	того чтобы	1	2
168	во всех	3	2
169	по себе	4	2
170	вследствие этого	1	2
171	в одном	6	2
172	слова не	2	2
173	или даже	1	2
174	в итоге	1	2
175	том и	1	2
176	художественное произведение	1	2
177	оно не	1	2
178	художественного мира	1	2
179	а именно	1	2
180	превращается в	1	2
181	самим собою	9	2
182	и некоторые	1	2
183	литературных произведений	1	2
184	в себя	1	2
185	но как	4	2
186	к своему	5	2
187	значительной степени	1	2
188	из которых	1	2
189	всей своей	2	2
190	за пределы	3	2
191	сама по	1	2
192	и прежде	4	2
193	с самим	15	2
194	между двумя	2	2
195	от себя	5	2
196	как в	5	2
197	для меня	1	2
198	с человеком	3	2
199	из этого	2	2
200	это и	3	2
201	не входит	1	2
202	одного сознания	3	2
203	в чем	4	2
204	мире и	2	2
205	не все	1	2
206	не является	1	2
207	для того	1	2
208	но на	4	2
209	в романе	1	2
210	и потому	1	2
211	собою в	1	2
212	а с	3	2
213	свою очередь	1	2
214	слове о	2	2
215	я на	1	2
216	об этом	1	2
217	отношении к	7	2
218	он оказывается	1	2
219	в них	4	2
220	и весьма	1	2
221	глаза в	1	2
222	одна из	1	2
223	слова в	6	2
224	у него	4	2
225	по преимуществу	1	2
226	к другому	16	2
227	с одной	1	2
228	тому что	2	2
229	о том	2	2
230	в сторону	2	2
231	еще один	2	2
232	и на	6	2
233	совпадает с	2	2
234	себя и	8	2
235	для себя	7	2
236	другого в	4	2
237	я как	3	2
238	роль в	1	2
239	не как	3	2
240	о себе	17	2
241	тем более	1	2
242	я не	8	2
243	и сам	7	2
244	этих двух	2	2
245	проявляет себя	1	2
246	ведет по	1	2
247	передо мной	2	2
248	в глаза	5	2
249	из которого	1	2
250	говорит что	1	2
251	слова как	1	2
252	о его	1	2
253	и по	2	2
254	времени и	2	2
255	что может	1	2
256	другим и	3	2
257	и особенно	1	2
258	внутренний голос	2	2
259	и это	5	2
260	ни был	2	2
261	для читателя	1	2
262	и более	1	2
263	в своем	2	2
264	повесть о	1	2
265	несколько иной	1	1
266	что по	1	1
267	столь же	2	1
268	точек зрения	2	1
269	обращен к	4	1
270	не могла	1	1
271	продолжением и	1	1
272	образ его	1	1
273	смысле можно	1	1
274	бы они	2	1
275	и совершенно	1	1
276	может и	1	1
277	для всех	1	1
278	но из	1	1
279	себе в	1	1
280	сознаний в	1	1
281	характерные для	1	1
282	когда мы	1	1
283	но с	1	1
284	на его	4	1
