N	2gram	Medvedev_I_1	FransuaR
1	и в	1	29
2	и не	2	16
3	в этом	2	11
4	так и	1	11
5	все эти	1	9
6	и с	3	9
7	в них	1	7
8	и о	1	5
9	того же	1	5
10	тем что	1	4
11	с другой	1	4
12	и др	1	4
13	только для	1	4
14	все это	1	4
15	жизни и	1	4
16	он не	2	3
17	и сам	1	3
18	для того	1	3
19	в эту	1	3
20	того чтобы	1	3
21	того что	1	3
22	не случайно	1	3
23	другой стороны	1	3
24	с жизнью	1	2
25	и со	1	2
26	эпизод с	1	2
27	это был	1	2
28	и тот	1	2
29	на котором	1	2
30	никогда не	1	2
31	а также	1	2
32	себя в	1	2
33	в основе	1	2
34	жил в	1	1
35	свою жену	1	1
36	в целом	1	1
37	какую роль	1	1
38	них не	1	1
39	это было	1	1
40	и очень	1	1
41	автора и	1	1
42	др он	1	1
43	и без	1	1
44	вплоть до	1	1
45	говорить о	1	1
46	ничего не	2	1
47	нечто и	1	1
48	когда его	1	1
49	и имеется	1	1
50	если бы	1	1
51	и та	1	1
52	к отцу	1	1
53	со всеми	1	1
54	для него	1	1
55	и создавал	1	1
56	а с	1	1
57	слишком много	1	1
58	но когда	1	1
59	только что	1	1
60	не дает	1	1
61	что в	2	1
