N	2gram	Savitsky_P_1	Problemy
1	и в	14	46
2	и не	12	27
3	может быть	5	23
4	не может	4	19
5	как бы	4	19
6	в нем	3	17
7	в этом	10	16
8	не только	17	14
9	но и	6	12
10	как и	1	12
11	и на	1	11
12	точки зрения	3	11
13	а не	2	11
14	в пределах	8	10
15	не в	5	10
16	и к	4	9
17	в самом	1	9
18	с точки	3	9
19	в его	2	9
20	в том	9	9
21	в большинстве	1	9
22	прежде всего	3	9
23	большинстве случаев	1	8
24	еще не	1	7
25	в себе	3	7
26	и с	2	7
27	по себе	4	7
28	как раз	2	7
29	то же	9	6
30	никогда не	1	6
31	хотя и	3	6
32	но в	9	6
33	в каждом	1	6
34	на фоне	1	6
35	только в	7	6
36	есть в	2	6
37	друг друга	1	6
38	все это	2	6
39	в котором	4	5
40	с его	1	5
41	во всех	2	5
42	особенно в	1	5
43	это не	3	5
44	в жизни	2	5
45	в то	7	5
46	же время	7	5
47	если мы	1	5
48	с другом	1	5
49	друг с	1	5
50	например в	2	4
51	мы не	3	4
52	на себя	1	4
53	но не	3	4
54	все же	1	4
55	том что	4	4
56	в этих	1	4
57	этих двух	1	4
58	потому что	3	4
59	слова но	2	4
60	в себя	1	4
61	и здесь	1	4
62	и других	2	4
63	уже в	1	4
64	к ним	1	4
65	мы можем	1	4
66	точек зрения	2	4
67	да и	2	4
68	должно быть	2	4
69	то что	4	4
70	что в	4	4
71	том числе	2	4
72	также и	1	3
73	и это	2	3
74	тем же	1	3
75	и о	5	3
76	мы и	1	3
77	конечно и	1	3
78	отличие от	1	3
79	в своем	4	3
80	более или	1	3
81	в условиях	1	3
82	из этих	1	3
83	в этой	1	3
84	на то	1	3
85	не к	2	3
86	в мире	2	3
87	было бы	6	3
88	далеко не	1	3
89	или менее	1	3
90	и при	1	3
91	в отличие	1	3
92	не как	1	3
93	в отношении	10	3
94	она не	1	3
95	числе и	1	3
96	с ее	1	3
97	и этим	1	3
98	с собой	1	3
99	если бы	4	3
100	никак не	2	3
101	и что	1	3
102	в различных	1	3
103	и только	1	3
104	в формах	1	3
105	себя в	1	3
106	только на	1	3
107	что и	1	3
108	эти явления	1	3
109	с другой	5	3
110	так же	1	3
111	но для	1	3
112	еще более	2	3
113	другой стороны	1	3
114	и другие	1	3
115	отношения к	2	2
116	же как	1	2
117	и через	1	2
118	вопрос о	1	2
119	не нужно	2	2
120	если в	2	2
121	в общем	2	2
122	не входят	1	2
123	с этим	2	2
124	вот как	1	2
125	стороны и	2	2
126	и слова	1	2
127	и как	3	2
128	не было	2	2
129	бы и	1	2
130	и резко	2	2
131	но на	1	2
132	бы ни	2	2
133	должна быть	1	2
134	и по	1	2
135	хотя бы	8	2
136	этом смысле	1	2
137	и тем	2	2
138	и само	1	2
139	в которых	5	2
140	мысли и	1	2
141	не менее	2	2
142	одна из	2	2
143	отношении к	5	2
144	могут быть	3	2
145	те же	1	2
146	живет в	1	2
147	в которые	1	2
148	между тем	3	2
149	отчасти и	1	2
150	творчестве достоевского	1	2
151	сами по	3	2
152	а в	4	2
153	каждого слова	1	2
154	в других	1	2
155	именно как	2	2
156	или иной	1	2
157	для этого	1	2
158	только к	1	2
159	и пр	5	2
160	там где	1	2
161	что мы	3	2
162	в одно	1	2
163	прямо на	1	2
164	вместе с	1	2
165	в данном	1	2
166	к жизни	1	2
