N	4gram	Vinokur_Vv_1	Myshleni
1	заключается в том что	2	5
2	одного и того же	2	4
3	по самой своей природе	2	4
4	одной и той же	2	3
5	состоит в том что	2	2
6	одном и том же	1	2
7	если принять во внимание	1	2
8	в том же направлении	1	2
9	мы имеем дело с	1	1
10	только в том что	1	1
11	есть не что иное	2	1
12	и в конце концов	1	1
13	по своему значению для	1	1
14	точно так же как	1	1
15	с другой стороны как	1	1
16	не что иное как	4	1
17	в каждой из этих	1	1
18	именно в этом смысле	1	1
19	это в свою очередь	1	1
20	в собственном смысле слова	1	1
21	для того чтобы ее	1	1
22	с этой точки зрения	1	1
23	с теми или иными	1	1
24	но вместе с тем	1	1
25	то же самое что	2	1
26	в том что в	1	1
27	но с другой стороны	1	1
28	в зависимости от того	1	1
29	не может быть в	1	1
30	ответить на этот вопрос	1	1
31	но в этом случае	1	1
32	в связи с этим	1	1
