N	2gram	Vinokur_Vv_1	Tvorches
1	и в	27	21
2	как бы	5	17
3	в то	5	15
4	то же	8	13
5	времени в	3	13
6	в его	10	13
7	достоевского в	1	12
8	как и	5	12
9	же время	5	12
10	что в	11	12
11	том что	26	11
12	все это	6	10
13	как в	1	8
14	то что	17	8
15	и на	3	7
16	но в	10	7
17	не только	21	7
18	при этом	3	7
19	у него	1	7
20	и не	13	7
21	в том	31	7
22	в свою	1	7
23	в этом	34	6
24	в котором	4	6
25	не менее	8	6
26	и его	5	6
27	он сам	3	6
28	о том	15	6
29	и все	1	6
30	что он	4	6
31	для него	1	6
32	а в	5	6
33	все же	8	5
34	в этой	3	5
35	таким образом	19	5
36	вовсе не	6	5
37	в своих	2	5
38	потому что	14	5
39	как будто	3	5
40	только в	13	5
41	может быть	24	5
42	а не	3	5
43	но это	1	5
44	это уже	1	5
45	хотя бы	5	5
46	человека и	1	4
47	в своем	3	4
48	и как	9	4
49	та же	1	4
50	в целом	5	4
51	это не	8	4
52	в своей	4	4
53	мысли и	2	4
54	своего рода	3	4
55	времени и	4	4
56	в конечном	1	4
57	одной из	3	4
58	прежде всего	8	4
59	на эту	1	4
60	в момент	1	4
61	не может	13	4
62	и от	1	4
63	один из	6	4
64	одним из	5	4
65	я и	1	3
66	и т	43	3
67	на самом	1	3
68	это и	1	3
69	той же	4	3
70	время в	2	3
71	хотя и	3	3
72	в самом	12	3
73	сливается с	3	3
74	представляет собой	12	3
75	в нем	13	3
76	в россии	1	3
77	на его	1	3
78	в каждом	4	3
79	что все	1	3
80	и с	2	3
81	и других	3	3
82	на протяжении	2	3
83	соответствии с	2	3
84	в их	11	3
85	представление о	1	3
86	романа достоевского	1	3
87	дело не	3	3
88	самого начала	1	3
89	дело в	3	3
90	не по	1	3
91	никогда не	3	3
92	вот почему	3	3
93	этой книги	2	3
94	приходит к	1	3
95	и другие	1	3
96	с самого	1	3
97	в дальнейшем	2	3
98	с ним	1	3
99	того что	12	3
100	времени как	1	3
101	человеческой личности	1	3
102	уже не	5	3
103	уже в	5	3
104	в виде	4	3
105	говорит о	3	3
106	так как	13	3
107	в соответствии	2	3
108	в которой	1	3
109	и даже	5	3
110	с другой	8	3
111	но и	5	3
112	к человеку	1	3
113	но не	7	3
114	романов достоевского	2	3
115	достоевский как	1	3
116	не существует	2	3
117	просто не	1	3
118	это как	1	3
119	но если	3	3
120	жизни и	2	3
121	ее в	1	3
122	это в	2	3
123	так же	3	3
124	вряд ли	2	2
125	того же	3	2
126	проблемы в	1	2
127	самом деле	6	2
128	на деле	1	2
129	в первом	5	2
130	действительности и	1	2
131	а как	3	2
132	есть не	3	2
133	в ней	3	2
134	собой в	2	2
135	в отличие	3	2
136	не нужно	2	2
137	в чем	4	2
138	не то	1	2
139	отличие от	3	2
140	в настоящем	1	2
141	в одной	1	2
142	как к	1	2
143	говорит что	1	2
144	в материал	1	2
145	то в	1	2
146	в себе	4	2
147	что она	3	2
148	тем не	8	2
149	так сказать	1	2
150	в принципе	2	2
151	отношений между	3	2
152	а затем	1	2
153	о котором	8	2
154	действительности в	2	2
155	известно что	1	2
156	и тем	5	2
157	в данном	11	2
158	и того	2	2
159	в этих	3	2
160	не столько	2	2
161	говорит об	1	2
162	не в	8	2
163	но он	1	2
