N	3gram	Berdyaev_N_1	EvropaiE
1	с одной стороны	2	8
2	в том что	1	6
3	так же как	2	5
4	не только в	1	4
5	в этом смысле	2	3
6	же как и	1	3
7	можно было бы	1	3
8	в известном смысле	1	3
9	во всяком случае	1	3
10	в последние годы	1	3
11	заключает в себе	1	3
12	то что в	1	2
13	с другой стороны	2	2
14	не может быть	4	2
15	войны и революции	2	2
16	в большинстве случаев	1	2
17	и того же	1	1
18	культура древнего египта	1	1
19	а не к	1	1
20	что в этом	1	1
21	в своем развитии	1	1
22	и не в	1	1
23	в эту эпоху	1	1
24	том случае если	1	1
25	нужно помнить что	1	1
26	в отличие от	1	1
27	но и в	1	1
28	не быть в	1	1
29	том числе и	1	1
30	и для того	1	1
31	не будет уже	1	1
32	что в силу	1	1
33	в значительной степени	1	1
34	не могут быть	1	1
35	в том случае	1	1
36	то время как	1	1
37	процессы направленные к	1	1
38	не может остаться	1	1
39	власти и в	1	1
40	культуры в ее	1	1
41	и германии во	1	1
42	в то время	1	1
43	хозяйственной жизни в	1	1
44	та или иная	1	1
45	это значит что	1	1
46	выходит за пределы	1	1
47	одного и того	1	1
48	в том числе	1	1
49	в том смысле	1	1
50	помнить что в	1	1
