N	3gram	Propp_Russ_2	Formalny
1	в настоящее время	1	10
2	и т д	5	8
3	более или менее	1	6
4	в свою очередь	1	6
5	не может быть	3	5
6	с одной стороны	2	4
7	во всяком случае	1	4
8	по аналогии с	1	3
9	может быть и	1	3
10	смысле этого слова	1	3
11	в своей книге	2	2
12	как мы увидим	1	2
13	в применении к	1	2
14	в том чтобы	2	2
15	и в этом	1	2
16	главным образом на	1	2
17	т е как	1	2
18	влияние и на	1	2
19	мы не можем	2	2
20	как мы видели	1	2
21	еще далеко не	1	1
22	состоит в том	13	1
23	не непосредственно а	1	1
24	нее как на	1	1
25	же как и	2	1
26	не может не	1	1
27	в том что	18	1
28	но и в	1	1
29	на самом же	2	1
30	в этом отношении	1	1
31	в своем исследовании	1	1
32	вместе с тем	4	1
33	в предыдущей главе	1	1
34	в это время	1	1
35	на нее как	1	1
36	т е в	5	1
37	непосредственно а через	1	1
38	но в особенности	1	1
39	в данном случае	6	1
40	то же происходит	1	1
41	в отличие от	3	1
42	все же в	1	1
43	в нашу задачу	1	1
44	поэтому мы не	1	1
45	т е на	1	1
46	том чтобы установить	1	1
47	но вместе с	2	1
48	с другой стороны	1	1
49	так же как	4	1
50	и в том	1	1
51	самом же деле	2	1
52	все то что	1	1
53	между тем как	1	1
54	но не с	1	1
55	носит условный и	1	1
56	в двух направлениях	1	1
57	не только на	1	1
58	как одна из	1	1
59	мы и здесь	1	1
60	или же в	1	1
61	не можем согласиться	1	1
62	тем не менее	2	1
63	мы уже знаем	1	1
64	или даже просто	1	1
65	вне связи с	1	1
