N	2gram	Vinokur_St_1	ViktorSh
1	конце концов	1	2
2	и в	44	2
3	том что	29	2
4	в том	36	2
5	в конце	3	2
6	и только	3	1
7	крайней мере	2	1
8	тем более	4	1
9	не стоило	1	1
10	в другом	3	1
11	хотя бы	6	1
12	и не	16	1
13	и его	8	1
14	потому что	6	1
15	я не	7	1
16	даже не	4	1
17	и обработки	1	1
18	более чем	2	1
19	не хочу	3	1
20	один пример	1	1
21	и то	5	1
22	хочу сказать	2	1
23	самом деле	11	1
24	другом месте	2	1
25	все это	5	1
26	по поводу	7	1
27	именно в	6	1
28	этом и	1	1
29	чего не	1	1
30	но разве	2	1
31	стр и	5	1
32	дело в	6	1
33	в частности	4	1
34	так в	1	1
35	о или	1	1
36	столь же	4	1
37	время в	1	1
38	ведь это	1	1
39	в которых	5	1
40	разве это	1	1
41	в самом	7	1
42	стоило бы	1	1
43	для них	1	1
44	дело именно	1	1
45	только в	10	1
46	то же	5	1
47	ясно что	10	1
48	так как	5	1
49	далеко не	1	1
50	другое дело	1	1
51	но это	6	1
52	в этом	21	1
53	да и	3	1
54	по крайней	2	1
55	а только	1	1
56	г стр	1	1
57	по существу	2	1
58	то я	1	1
59	к этому	1	1
60	значительной степени	1	1
61	не хотел	1	1
62	гораздо более	4	1
63	том же	1	1
