N	4gram	Losev_Prob_3	Analitik
1	одного и того же	1	3
2	по крайней мере в	1	2
3	в том что он	1	2
4	дело в том что	2	2
5	дело не в самом	1	1
6	в данном случае совершенно	1	1
7	подобно тому например как	1	1
8	не что иное как	4	1
9	во всяком случае не	1	1
10	дело здесь не только	1	1
11	здесь не только в	1	1
12	по крайней мере не	1	1
13	но с другой стороны	2	1
14	в той или иной	2	1
15	тех случаях когда мы	1	1
16	данном случае совершенно не	1	1
17	заключается в том что	2	1
18	в тех случаях когда	1	1
19	есть не что иное	4	1
