N	2gram	Nazirov_Tv_1	RusskieA
1	и в	21	29
2	т е	1	24
3	том что	11	22
4	в том	7	22
5	что в	12	22
6	как бы	17	18
7	в других	1	15
8	и другие	3	14
9	так как	3	13
10	может быть	5	13
11	во время	1	12
12	там же	3	12
13	в этом	6	11
14	как и	12	11
15	одна из	2	11
16	в этот	1	10
17	не только	7	10
18	и с	3	10
19	все это	10	10
20	а на	1	9
21	о том	6	9
22	а в	6	9
23	его в	1	8
24	показывает что	1	8
25	или на	1	8
26	но и	3	8
27	ее в	3	8
28	как в	8	7
29	данном случае	2	7
30	представляют собой	1	7
31	или в	2	7
32	мы имеем	1	6
33	еще не	1	6
34	и на	7	6
35	при этом	7	6
36	таким образом	5	6
37	на голову	1	6
38	с тем	1	6
39	вместе с	2	6
40	в данном	2	6
41	же в	1	6
42	и т	3	5
43	но не	3	5
44	но в	7	5
45	на земле	3	5
46	это не	4	5
47	т д	1	5
48	не может	4	5
49	представление о	3	5
50	потому что	5	5
51	для этого	1	5
52	и что	1	5
53	к жизни	2	5
54	то что	8	5
55	к этому	2	5
56	в русских	1	4
57	же как	1	4
58	то же	13	4
59	не все	1	4
60	что по	1	4
61	уже не	3	4
62	том же	1	4
63	а затем	2	4
64	в них	1	4
65	далеко не	3	4
66	и потом	1	4
67	не в	2	4
68	у нас	1	4
69	к нему	1	4
70	так что	2	4
71	то и	1	4
72	в виде	3	4
73	из них	2	4
74	именно в	2	4
75	а не	5	4
76	о чем	1	4
77	так же	3	4
78	как это	1	4
79	эта теория	1	4
80	и все	6	4
81	в таком	1	4
82	и через	1	3
83	в году	7	3
84	и о	1	3
85	в xix	1	3
86	они живут	1	3
87	в ее	1	3
88	что это	1	3
89	все эти	1	3
90	в этой	5	3
91	что она	2	3
92	и по	3	3
93	на этом	1	3
94	в народе	1	3
95	и других	3	3
96	живет в	2	3
97	должен был	1	3
98	на первый	1	3
99	в этих	2	3
100	в котором	6	3
101	в отличие	2	3
102	но он	2	3
103	она не	1	3
104	в таких	1	3
105	не имеет	1	3
106	такие же	1	3
107	под именем	1	3
108	во всех	1	3
109	того что	3	3
110	между тем	1	3
111	в качестве	2	3
112	связь с	1	3
113	отличие от	2	3
114	тем что	1	3
115	по всей	1	3
116	что для	2	3
117	а наоборот	1	3
118	до конца	2	3
119	для этой	2	3
120	и от	4	3
121	было бы	1	3
122	но если	3	3
123	они представляют	1	2
124	вряд ли	2	2
125	одним из	4	2
126	на самом	3	2
127	переход от	1	2
128	это и	3	2
129	рассматривается как	1	2
130	но она	2	2
131	что иное	1	2
132	на себя	1	2
133	не совсем	1	2
134	это время	2	2
135	между собой	1	2
136	иное как	1	2
137	не был	3	2
138	это означало	2	2
139	это имеет	1	2
140	с одной	1	2
141	тогда как	1	2
142	а через	1	2
143	эта связь	1	2
144	с этим	1	2
145	все же	5	2
146	а и	1	2
147	как уже	1	2
148	и как	4	2
149	не было	1	2
150	этой цели	1	2
151	в руках	1	2
152	живут в	1	2
153	та же	4	2
154	в которой	3	2
155	под ним	1	2
156	представляет собой	3	2
157	если он	1	2
158	ряд других	1	2
159	не к	1	2
160	людей и	2	2
161	в образе	1	2
162	здесь мы	2	2
163	связанные с	1	2
164	об этом	2	2
165	из гроба	2	2
166	для них	1	2
167	так в	1	2
168	в своей	4	2
169	в их	3	2
170	не столько	2	2
171	тем не	2	2
172	с развитием	1	2
173	не менее	6	2
174	что с	1	2
175	в то	15	2
176	дело не	3	2
177	никогда не	3	2
178	того в	1	2
179	к ней	2	2
180	связи с	1	2
181	кроме того	1	2
182	что на	1	2
183	в момент	4	2
184	начиная с	1	2
185	говорит о	3	2
186	в виду	2	2
187	вывод что	1	2
188	смерти в	1	2
189	мнение что	1	2
190	еще в	2	2
191	жизнь и	1	2
192	своей книге	1	2
193	с другим	1	2
194	в глаза	2	2
195	влияние на	2	2
196	с другой	3	2
197	связь между	1	2
198	вся эта	1	2
199	что и	2	2
200	гроба и	2	2
201	представления о	1	2
202	в него	2	2
203	бросается в	1	2
204	один из	4	2
205	совсем не	1	2
206	этот вопрос	1	2
207	в разные	1	2
208	и ее	1	2
209	по этому	1	2
210	на эту	4	2
211	одно из	1	2
212	представлений о	2	2
213	заметить что	1	2
214	по приказу	1	2
215	в целях	1	2
216	же деле	1	2
217	чем в	1	2
218	а с	1	2
219	прежде всего	4	2
220	самом же	1	2
221	одной стороны	1	2
222	другие в	1	2
223	во плоти	1	2
224	через него	1	2
225	могут быть	2	2
226	как средство	1	2
227	с этой	1	2
228	вокруг него	1	2
229	пока еще	1	2
230	решить вопрос	1	2
231	ее и	2	2
232	жизни в	6	2
233	только как	1	2
234	не что	1	2
235	приводит нас	1	2
236	представлениями о	1	2
237	в своих	5	2
238	это в	3	2
239	это неверно	1	1
240	от дома	1	1
241	ту же	3	1
242	принимает форму	1	1
243	к воплощению	1	1
244	человека и	4	1
245	через которые	1	1
246	говорилось выше	1	1
247	к этой	1	1
248	и есть	1	1
249	над этим	1	1
250	года к	1	1
251	этой теории	1	1
252	из самых	1	1
253	нас на	1	1
254	и до	1	1
255	очень много	1	1
256	сливается с	3	1
257	мы уже	1	1
258	г в	1	1
259	собой как	1	1
260	что если	1	1
261	не во	2	1
262	происходило в	1	1
263	говорить о	1	1
264	их с	1	1
265	то это	1	1
266	в одиночку	1	1
267	в ней	2	1
268	что каждый	1	1
269	что его	2	1
270	без особой	1	1
271	вносимого в	1	1
272	тем как	1	1
273	еще далеко	1	1
274	если в	2	1
275	к слову	1	1
276	воплощенной в	1	1
277	к сожалению	1	1
278	в поисках	1	1
279	отнюдь не	5	1
280	первый взгляд	1	1
281	в своем	4	1
282	перед нами	2	1
283	и где	1	1
284	хотя и	3	1
285	когда он	2	1
286	и наконец	2	1
287	от других	2	1
288	в самом	3	1
289	многочисленные связи	1	1
290	к необходимости	1	1
291	уже в	3	1
292	он в	1	1
293	что так	1	1
294	и будущее	2	1
295	тому же	1	1
296	как он	1	1
297	но на	1	1
298	выход на	1	1
299	и если	1	1
300	в нем	3	1
301	в статье	1	1
302	плачут и	1	1
303	так сказать	2	1
304	всех этих	1	1
305	в первую	1	1
306	от людей	2	1
307	только в	5	1
308	человек с	1	1
309	в нее	1	1
310	на этих	1	1
311	но все	1	1
312	а вместе	1	1
313	встречаются и	1	1
314	ее по	2	1
315	то мировоззрение	1	1
316	что все	3	1
317	довольно точно	1	1
318	значение в	1	1
319	и чтобы	1	1
320	на все	1	1
321	из себя	2	1
322	а как	2	1
323	знает что	1	1
324	дома и	1	1
325	известно что	2	1
326	связанным с	1	1
327	более широком	1	1
328	в огонь	1	1
329	за ней	1	1
330	д с	1	1
331	о которой	1	1
332	подробно описывает	1	1
333	такой же	2	1
334	их на	1	1
335	этой связи	2	1
336	место в	3	1
337	еще с	1	1
338	не от	1	1
339	своего рода	4	1
340	как одна	1	1
341	человеком и	1	1
342	но эта	1	1
343	только для	1	1
344	как от	1	1
345	однако в	2	1
346	что этот	1	1
347	происходят на	1	1
348	на всю	1	1
349	оно могло	1	1
350	игрой в	1	1
351	человеку не	1	1
352	что эта	1	1
353	вместе и	1	1
354	противоположность между	1	1
355	в русской	5	1
356	все мы	1	1
357	считает что	1	1
358	дело в	3	1
359	и притом	2	1
360	ее с	1	1
361	на него	1	1
362	в основе	2	1
363	это еще	1	1
364	в игру	1	1
365	учения о	1	1
366	в полной	1	1
367	и его	6	1
368	же он	1	1
369	особое значение	1	1
370	до того	1	1
371	как будто	5	1
372	понимал и	1	1
373	и здесь	1	1
374	в духе	2	1
375	во все	1	1
376	в окошко	1	1
377	кто же	2	1
378	оно не	1	1
379	быть назван	1	1
380	время они	1	1
381	и это	1	1
382	разные стороны	1	1
383	vii в	1	1
384	не будет	2	1
385	свою очередь	1	1
386	не могу	2	1
387	в в	2	1
388	так на	1	1
389	через три	1	1
390	приводит к	2	1
391	и когда	2	1
392	что у	1	1
393	поэтому мы	1	1
394	так и	2	1
395	его решения	1	1
396	шел в	1	1
397	здесь нет	2	1
398	найти в	1	1
399	можно только	1	1
400	но у	1	1
401	он был	1	1
402	без всякой	1	1
403	с ним	3	1
404	означает что	1	1
405	из других	2	1
406	лицо его	2	1
407	на этой	1	1
408	настоящее время	2	1
409	утверждает что	1	1
410	комический эффект	1	1
411	с того	1	1
412	можно сказать	2	1
413	может не	2	1
414	нас в	1	1
415	на ночь	1	1
416	этот момент	1	1
417	кончается этот	1	1
418	в его	13	1
419	с виноградов	1	1
420	во всей	2	1
421	не надо	1	1
422	в ту	3	1
423	все время	1	1
424	как правило	1	1
425	в другую	1	1
426	и мир	2	1
427	в литературе	2	1
428	с той	1	1
429	но с	1	1
430	тот же	2	1
431	в основном	4	1
432	с ними	1	1
433	что он	6	1
434	пришел к	1	1
435	в какой	1	1
436	к их	1	1
437	и действительно	1	1
