N	2gram	Vinokur_Ku_3	UchenyiS
1	и в	23	14
2	формальный метод	1	11
3	а не	11	10
4	не только	17	10
5	прежде всего	9	8
6	и не	10	8
7	не может	6	7
8	вот почему	1	7
9	в этом	16	7
10	то что	4	7
11	может быть	14	6
12	то же	6	5
13	и только	3	5
14	все это	2	5
15	хотя бы	9	5
16	с другой	7	4
17	но и	3	4
18	что такое	4	4
19	в их	6	4
20	в конечном	1	4
21	в россии	2	4
22	конечном счете	1	4
23	конечно не	2	4
24	то ни	1	3
25	вряд ли	1	3
26	и то	1	3
27	это не	3	3
28	было бы	16	3
29	как и	5	3
30	для этого	6	3
31	в частности	2	3
32	в своей	4	3
33	бы то	1	3
34	очевидно что	3	3
35	и формы	1	3
36	в то	3	3
37	все же	5	3
38	но в	2	3
39	формы в	1	3
40	пришлось бы	1	3
41	же время	1	3
42	в области	14	3
43	у нас	10	3
44	другой стороны	3	3
45	для него	1	3
46	не как	2	3
47	не о	2	3
48	тем менее	1	2
49	что все	2	2
50	крайней мере	1	2
51	именно как	1	2
52	и с	3	2
53	и через	2	2
54	до сих	8	2
55	самом деле	14	2
56	пишет он	1	2
57	противном случае	1	2
58	должна быть	3	2
59	в некоторых	2	2
60	превращается в	1	2
61	мы не	3	2
62	о чем	2	2
63	на эту	1	2
64	если бы	8	2
65	что мы	2	2
66	ничего не	6	2
67	как таковой	2	2
68	не столько	4	2
69	если не	1	2
70	том что	11	2
71	материал для	2	2
72	сводится к	1	2
73	мы и	1	2
74	литературы и	1	2
75	нас в	3	2
76	но не	3	2
77	в сторону	1	2
78	думается что	1	2
79	не все	2	2
80	в его	11	2
81	по крайней	1	2
82	по существу	3	2
83	что и	6	2
84	по себе	6	2
85	приемов и	2	2
86	более чем	2	2
87	сих пор	8	2
88	но это	5	2
89	этом смысле	1	2
90	в противном	1	2
91	интереса к	1	2
92	в том	22	2
93	тех или	1	2
94	это уже	3	2
95	с проблемой	1	2
96	и для	1	2
97	что он	6	2
98	в себе	1	2
99	формы и	3	2
100	в самом	13	2
101	между тем	4	2
102	только в	6	2
103	мы получаем	1	2
104	не в	5	2
105	вопроса о	3	2
106	очевидно не	1	2
107	все они	2	2
108	не есть	3	2
109	еще ничего	1	2
110	или иных	1	2
111	фактов и	1	2
112	конечно нет	1	2
113	бы и	3	2
114	всех этих	1	2
115	сколько угодно	1	2
116	не могут	5	2
117	могут быть	6	2
118	смысле этого	2	2
119	а о	1	2
120	же самое	1	2
121	материал не	1	2
122	не случайно	4	2
123	как раз	4	2
124	тем что	5	2
125	что она	5	2
126	таким образом	9	2
127	на лингвистику	1	1
128	поэзии и	1	1
129	есть конечно	2	1
130	же как	1	1
131	но по	1	1
132	в виду	8	1
133	деле есть	1	1
134	сам по	3	1
135	входит в	1	1
136	первую очередь	3	1
137	материал поэзии	1	1
138	данном случае	4	1
139	самая попытка	1	1
140	в период	1	1
141	искусства в	1	1
142	сюда же	1	1
143	есть язык	3	1
144	и прежде	1	1
145	от смысла	1	1
146	поэзию как	1	1
147	существу то	1	1
148	из самых	1	1
149	установка на	3	1
150	в пределах	2	1
151	и спорить	1	1
152	смысла слов	1	1
153	поэтика есть	1	1
154	и др	1	1
155	литературного жанра	1	1
156	что для	1	1
157	слова а	1	1
158	никогда не	1	1
159	к созданию	1	1
160	так и	6	1
161	и вы	1	1
162	одной стороны	4	1
163	той же	3	1
164	в сфере	1	1
165	относится к	2	1
166	этого не	1	1
167	отсюда и	1	1
168	с тем	6	1
169	мы имеем	2	1
170	сдвиг в	1	1
171	он знает	1	1
172	своем месте	1	1
173	до крайности	2	1
174	смысле можно	2	1
175	жанра в	1	1
176	именно к	1	1
177	об искусстве	1	1
178	в словах	1	1
179	должно быть	7	1
180	иначе говоря	2	1
181	и слово	1	1
182	во главу	1	1
183	остается в	2	1
184	какой именно	1	1
185	можно сказать	2	1
186	как элемент	1	1
187	или менее	2	1
188	на значение	1	1
189	в г	1	1
190	о нем	1	1
191	группы и	1	1
192	произведения как	1	1
193	искусства и	1	1
194	тех кто	1	1
195	метод и	1	1
196	как на	8	1
197	приводит к	1	1
198	о том	6	1
199	которых нужно	1	1
200	в ней	3	1
201	и потому	1	1
202	в котором	2	1
203	этого общего	1	1
204	в кавычки	1	1
205	только для	2	1
206	нужно будет	2	1
207	и что	7	1
208	она в	1	1
209	к простому	1	1
210	и содержание	3	1
211	его работы	1	1
212	в различных	2	1
213	быть в	2	1
214	из которых	1	1
215	в пользу	1	1
216	содержания в	2	1
217	признать что	1	1
218	он будет	2	1
219	слово как	1	1
220	пушкин и	1	1
221	в той	4	1
222	смыслом этих	1	1
223	не самый	1	1
224	что научная	1	1
225	отказ от	1	1
226	в данном	7	1
227	этих слов	3	1
228	что же	5	1
229	не то	2	1
230	не входит	1	1
231	того что	11	1
232	и возможностей	1	1
233	друг другу	1	1
234	в которых	3	1
235	ряда и	1	1
236	речи в	7	1
237	обработке мы	1	1
238	есть основной	1	1
239	речи чтобы	1	1
240	форма в	1	1
241	говорит он	1	1
242	нет и	1	1
243	за пределы	2	1
244	и стилистических	1	1
245	не внешне	1	1
246	г №	1	1
247	быть не	2	1
248	мы снова	1	1
249	отнюдь не	3	1
250	она не	3	1
251	задачи и	1	1
252	еще раз	2	1
253	этом случае	4	1
254	между поэтикой	3	1
255	независимо от	5	1
256	так он	1	1
257	впрочем не	1	1
258	но тут	1	1
259	в своем	4	1
260	может обойтись	1	1
261	что с	1	1
262	при построении	1	1
263	но для	3	1
264	в большей	2	1
265	себе еще	1	1
266	того как	7	1
267	по меньшей	1	1
268	она должна	1	1
269	пушкина но	1	1
270	тот же	6	1
271	в поэтическом	1	1
272	на своем	1	1
273	более или	2	1
274	также более	1	1
275	поэтикой и	3	1
276	и действительно	3	1
277	этого конечно	1	1
278	о методах	1	1
279	которое мы	1	1
280	всего лишь	1	1
281	связаны и	1	1
282	так много	1	1
283	в которой	1	1
284	о котором	1	1
285	меньшей мере	1	1
286	от самых	1	1
287	не было	4	1
288	он в	2	1
289	это же	1	1
290	тогда когда	4	1
291	с одной	4	1
292	в качестве	2	1
293	тем более	5	1
294	в известном	2	1
295	вообще в	1	1
296	наука изучающая	1	1
297	точно и	1	1
298	уже не	8	1
299	этот анализ	1	1
300	далеко не	5	1
301	имеем в	1	1
302	но также	5	1
303	то и	2	1
304	же в	1	1
305	в процессе	3	1
306	в виде	1	1
307	языковых фактов	2	1
308	связанные с	1	1
309	или даже	1	1
310	но если	3	1
311	удивительного что	1	1
312	он не	3	1
313	формы является	1	1
314	главу угла	1	1
315	сказать что	7	1
316	только как	4	1
317	состоит из	1	1
318	история литературы	1	1
319	формы слова	1	1
320	в первую	3	1
321	не значит	5	1
322	он называет	1	1
