N	2gram	Vinokur_Vv_1	Tvorches
1	и в	27	20
2	и т	43	13
3	не только	21	13
4	т д	37	11
5	никогда не	3	11
6	как бы	5	11
7	таким образом	19	10
8	в то	5	10
9	в его	10	10
10	достоевского в	1	9
11	и его	5	9
12	и не	13	9
13	при этом	3	8
14	и с	2	8
15	в том	31	8
16	может быть	24	8
17	в этом	34	8
18	прежде всего	8	8
19	но и	5	8
20	то же	8	7
21	это не	8	7
22	представление о	1	7
23	же время	5	7
24	наряду с	2	7
25	потому что	14	7
26	не может	13	7
27	что в	11	7
28	в целом	5	6
29	как и	5	6
30	в своей	4	6
31	что он	4	6
32	так и	1	6
33	в конце	3	6
34	у него	1	6
35	именно в	8	6
36	а не	3	6
37	все это	6	6
38	например в	2	5
39	еще не	4	5
40	и на	3	5
41	но не	7	5
42	все же	8	5
43	в этой	3	5
44	если он	1	5
45	и сам	2	5
46	романа достоевского	1	5
47	о том	15	5
48	и даже	5	5
49	но это	1	5
50	романов достоевского	2	5
51	так же	3	5
52	мы не	2	4
53	все эти	3	4
54	как в	1	4
55	хотя и	3	4
56	но в	10	4
57	за собой	3	4
58	не в	8	4
59	в дальнейшем	2	4
60	на его	1	4
61	что она	3	4
62	в принципе	2	4
63	что у	1	4
64	об этом	5	4
65	соответствии с	2	4
66	показывает что	1	4
67	если бы	2	4
68	ничего не	2	4
69	в духе	1	4
70	в известной	3	4
71	в чем	4	4
72	мы видим	1	4
73	а в	5	4
74	в соответствии	2	4
75	если не	1	4
76	и от	1	4
77	том что	26	4
78	одним из	5	3
79	же как	3	3
80	человека и	1	3
81	письма к	1	3
82	самой своей	2	3
83	он сам	3	3
84	по отношению	4	3
85	тогда как	2	3
86	в черновой	1	3
87	в одной	1	3
88	о жизни	1	3
89	отношению к	4	3
90	в себе	4	3
91	в нем	13	3
92	так например	6	3
93	а затем	1	3
94	традиции и	4	3
95	его в	6	3
96	но уже	2	3
97	в самом	12	3
98	в котором	4	3
99	в их	11	3
100	в которых	6	3
101	своего рода	3	3
102	заставляет нас	1	3
103	тем что	6	3
104	одна из	2	3
105	казалось бы	2	3
106	и это	6	3
107	с ним	1	3
108	до сих	5	3
109	между тем	8	3
110	этот вопрос	4	3
111	уже не	5	3
112	в начале	3	3
113	для него	1	3
114	так как	13	3
115	то что	17	3
