N	3gram	Losev_Vlad_2	OGranits
1	с точки зрения	3	5
2	не может быть	1	4
3	до тех пор	1	4
4	тех пор пока	1	3
5	что иное как	1	2
6	и наконец в	1	2
7	в самом деле	1	2
8	в данном случае	2	2
9	ничего общего с	1	2
10	с самого начала	1	2
11	не что иное	1	2
12	в том что	9	2
13	но это конечно	1	1
14	тот же самый	1	1
15	что в этом	1	1
16	само собой разумеется	3	1
17	более или менее	3	1
18	течение всей своей	1	1
19	равно как и	1	1
20	нам кажется что	2	1
21	в сознании и	1	1
22	в отличие от	3	1
23	не было бы	1	1
24	только то что	1	1
25	в этом отношении	1	1
26	то что в	1	1
27	нужно сказать что	1	1
28	в собственном смысле	1	1
29	можно было бы	2	1
30	почти никогда не	1	1
31	может быть и	1	1
32	и в области	1	1
33	в последнее время	2	1
34	только и может	2	1
35	для того чтобы	1	1
36	которая уже была	1	1
37	и в его	2	1
38	все равно не	1	1
39	а также и	1	1
40	что он называет	1	1
41	тем не менее	6	1
42	и как бы	1	1
43	в течение всей	2	1
44	в связи с	8	1
45	чуть ли не	1	1
46	само по себе	2	1
47	собственном смысле слова	1	1
48	и особенно его	1	1
49	это конечно не	1	1
50	то же время	3	1
51	собой разумеется что	2	1
52	но тем не	1	1
53	оказывается с точки	1	1
54	но в то	1	1
55	в течение всего	1	1
56	несмотря на все	2	1
57	на то что	2	1
58	в то же	3	1
