N	2gram	Bakhtin_KF_1	Tragedij
1	и в	24	18
2	в этом	14	9
3	не только	5	8
4	и с	1	7
5	и на	3	7
6	может быть	45	7
7	как бы	9	7
8	и не	26	7
9	но в	5	6
10	и его	17	6
11	же время	2	6
12	что он	2	6
13	то же	5	5
14	все же	5	5
15	что это	3	5
16	это не	10	5
17	как и	5	5
18	несмотря на	1	5
19	в то	3	5
20	так и	2	5
21	это очень	1	5
22	не может	27	5
23	а я	1	5
24	я не	6	4
25	еще не	4	4
26	в себе	21	4
27	в целом	10	4
28	в этой	2	4
29	в нем	28	4
30	об этом	1	4
31	том что	4	4
32	что я	5	4
33	но и	9	4
34	я люблю	1	4
35	и даже	1	4
36	прежде всего	2	4
37	но это	6	4
38	все это	10	4
39	что в	4	4
40	и все	7	4
41	то что	7	4
42	в мире	6	3
43	и он	1	3
44	отнюдь не	6	3
45	как в	2	3
46	в своем	16	3
47	и как	2	3
48	все эти	10	3
49	при этом	4	3
50	то есть	1	3
51	должно быть	6	3
52	тем самым	4	3
53	с ее	2	3
54	мог бы	1	3
55	жизнь и	2	3
56	с ним	5	3
57	к нему	12	3
58	в его	40	3
59	один из	2	3
60	для него	8	3
61	никто не	1	3
62	как это	1	3
63	что за	2	3
64	в первом	1	2
65	и до	1	2
66	что эти	1	2
67	и за	2	2
68	а как	2	2
69	никогда не	5	2
70	и то	2	2
71	не был	1	2
72	столь же	1	2
73	с его	1	2
74	отношение к	5	2
75	не просто	1	2
76	и я	5	2
77	в самом	1	2
78	бы и	3	2
79	жизнью и	1	2
80	он не	6	2
81	что она	1	2
82	ее жизни	3	2
83	но все	5	2
84	что все	1	2
85	его в	5	2
86	в это	2	2
87	ни в	12	2
88	нет в	4	2
89	с тем	2	2
90	не мог	1	2
91	любви и	1	2
92	вопрос о	2	2
93	но эта	5	2
94	не в	12	2
95	что этот	3	2
96	раз и	2	2
97	одна из	1	2
98	я буду	3	2
99	не имеет	5	2
100	он и	2	2
101	к тому	1	2
102	и это	12	2
103	но при	1	2
104	в ее	16	2
105	не за	1	2
106	ничего не	3	2
107	и здесь	7	2
108	о том	3	2
109	что и	7	2
110	в том	6	2
111	и ее	2	2
112	уже не	7	2
113	в виде	2	2
114	в душе	1	2
115	в одном	4	2
116	друг друга	1	2
117	тем что	3	2
118	только к	1	2
119	до конца	3	2
120	ничем не	1	2
121	в данном	2	2
122	о его	1	2
123	это уже	2	2
124	потому что	2	2
125	со мной	4	2
126	по поводу	1	2
127	я и	2	1
128	только он	1	1
129	ту же	1	1
130	я его	2	1
131	и др	1	1
132	самом деле	3	1
133	это и	2	1
134	или своей	1	1
135	и практический	1	1
136	и есть	9	1
137	поэтому он	1	1
138	проникает в	5	1
139	исходит из	1	1
140	перепрыгивая через	1	1
141	должна быть	4	1
142	той же	1	1
143	то для	1	1
144	которую я	1	1
145	что уже	1	1
146	вместо того	1	1
147	ему в	2	1
148	в виду	3	1
149	как свой	1	1
150	в ней	3	1
151	быть в	4	1
152	позицию по	1	1
153	в чем	4	1
154	и мира	1	1
155	во всех	11	1
156	но не	12	1
157	но как	5	1
158	всем его	3	1
159	свою жизнь	2	1
160	а он	1	1
161	само это	1	1
162	не смирение	1	1
163	но со	1	1
164	в истории	1	1
165	что именно	1	1
166	час и	1	1
167	что ее	1	1
168	мысль о	1	1
169	и наконец	1	1
170	маленький и	1	1
171	в которой	1	1
172	знать и	1	1
173	бы не	3	1
174	и отношения	2	1
175	жизнь как	6	1
176	если он	1	1
177	человек не	2	1
178	перестает быть	1	1
179	не значит	6	1
180	его самого	1	1
181	не к	1	1
182	не как	4	1
183	содержит в	1	1
184	этом мире	2	1
185	и по	1	1
186	в блеске	1	1
187	на этом	1	1
188	здесь мы	4	1
189	а затем	1	1
190	же не	1	1
