N	3gram	Potebnia_M_1	Analitik
1	о том что	1	6
2	в том что	13	6
3	по отношению к	13	4
4	с одной стороны	3	4
5	и в этом	6	4
6	подобно тому как	3	3
7	в этом отношении	1	3
8	по крайней мере	2	3
9	тем не менее	6	3
10	как и в	2	3
11	в этом смысле	4	2
12	в ответ на	1	2
13	с точки зрения	3	2
14	в таком случае	2	2
15	в то же	3	2
16	можно было бы	1	2
17	не только в	3	2
18	с другой стороны	5	2
19	то же время	3	2
20	предполагает не только	1	2
21	и тем самым	1	2
22	не только не	2	2
23	на то что	1	2
24	жизни но и	1	1
25	но и все	1	1
26	до такой степени	1	1
27	не в состоянии	1	1
28	а между тем	3	1
29	что иное как	2	1
30	более или менее	1	1
31	которые могут быть	1	1
32	языка то есть	2	1
33	от него ничего	1	1
34	сами по себе	1	1
35	со стороны других	2	1
36	но и в	4	1
37	между тем как	1	1
38	как и наоборот	1	1
39	на этот вопрос	2	1
40	что же до	1	1
41	в противном случае	3	1
42	из самого себя	2	1
43	с этой точки	1	1
44	то и другое	2	1
45	не совпадает с	1	1
46	в применении к	2	1
47	не имело бы	1	1
48	это не так	1	1
49	в этом месте	1	1
50	в эту минуту	1	1
51	в свою очередь	4	1
52	в связи с	1	1
53	все что ни	1	1
54	при таком воззрении	1	1
55	то что на	1	1
56	что при таком	2	1
57	этой точки зрения	1	1
58	не может вполне	1	1
59	между нами и	1	1
60	а в том	3	1
61	только то что	1	1
62	могут быть только	2	1
63	не может быть	9	1
64	и воля и	1	1
65	том смысле что	1	1
66	заключается в том	1	1
67	во всех языках	1	1
68	но и для	2	1
69	другой стороны и	1	1
70	а не его	1	1
71	из виду что	1	1
72	в нас самих	1	1
73	не что иное	2	1
74	не менее в	1	1
75	в каждом отдельном	1	1
76	в том смысле	4	1
77	к тому что	2	1
78	сама по себе	3	1
79	точно так же	1	1
80	потому что я	1	1
81	не только для	2	1
