N	4gram	Tiupa_Hudo_2	Literetu
1	в то же время	4	5
2	состоит в том что	2	4
3	не байрон я другой	1	2
4	дело в том что	1	2
5	нет я не байрон	1	2
6	я не байрон я	1	2
7	дело не только в	2	2
8	только в том что	2	2
9	не только в том	2	2
10	частной опере но бросил	1	1
11	имеет в москве два	1	1
12	личное существование держится на	1	1
13	готовился когда-то петь в	1	1
14	все более и более	1	1
15	не несет в себе	1	1
16	когда-то петь в частной	1	1
17	бросил имеет в москве	1	1
18	каждое личное существование держится	1	1
19	в частной опере но	1	1
20	но бросил имеет в	1	1
21	существование держится на тайне	1	1
22	опере но бросил имеет	1	1
23	по образованию филолог но	1	1
24	стать самим собою без	1	1
25	филолог но служит в	1	1
26	но служит в банке	1	1
27	самим собою без другого	1	1
28	образованию филолог но служит	1	1
29	в москве два дома	1	1
30	петь в частной опере	1	1
