N	2gram	Potebnia_M_1	Problemy
1	и в	39	43
2	и не	18	29
3	может быть	27	23
4	как бы	6	22
5	не может	22	18
6	как и	9	14
7	но и	20	14
8	и т	6	13
9	в этом	15	13
10	точки зрения	8	13
11	что он	1	13
12	в нем	20	12
13	в одном	8	12
14	слова в	2	12
15	слова и	4	12
16	не только	21	11
17	в каждом	4	11
18	не в	15	11
19	по себе	10	11
20	и на	1	10
21	но в	9	10
22	как мы	2	10
23	в его	5	10
24	прежде всего	4	10
25	в сущности	2	9
26	еще не	6	9
27	он не	3	9
28	никогда не	4	9
29	т п	4	9
30	то же	6	8
31	лишь в	1	8
32	для него	4	8
33	с точки	3	8
34	и его	5	8
35	или в	2	8
36	слово в	1	8
37	перед нами	1	7
38	в самом	3	7
39	в то	4	7
40	слова с	1	7
41	в другом	1	7
42	до сих	1	7
43	а не	21	7
44	что же	2	7
45	сих пор	1	7
46	то что	10	7
47	так сказать	2	6
48	при этом	6	6
49	к одному	2	6
50	не как	1	6
51	в этих	7	6
52	что я	1	6
53	здесь не	1	6
54	приводит к	1	6
55	о нем	1	6
56	в том	26	6
57	в котором	1	6
58	у него	1	6
59	и все	3	6
60	сам по	1	5
61	самом деле	1	5
62	нам кажется	1	5
63	но не	8	5
64	по отношению	13	5
65	хотя и	3	5
66	в себе	13	5
67	все эти	1	5
68	на то	2	5
69	да и	1	5
70	таким образом	13	5
71	и с	3	5
72	было бы	12	5
73	рядом с	1	5
74	в слове	8	5
75	это слово	1	5
76	в речи	1	5
77	о том	2	5
78	никак не	2	5
79	и что	10	5
80	же время	4	5
81	к нему	1	5
82	слов и	4	5
83	мы увидим	3	5
84	так что	16	5
85	вовсе не	5	5
86	все это	1	5
87	а что	1	5
88	бы в	4	5
89	а в	5	5
90	отношению к	13	5
91	а как	2	4
92	мы не	10	4
93	с его	1	4
94	во всех	5	4
95	себе и	1	4
96	сама по	3	4
97	там где	4	4
98	в своем	3	4
99	в произведении	1	4
100	т д	4	4
101	если же	5	4
102	же не	1	4
103	может стать	1	4
104	в них	3	4
105	далеко не	1	4
106	между собою	6	4
107	должно быть	7	4
108	во время	1	4
109	в своей	3	4
110	но он	2	4
111	их в	1	4
112	том же	2	4
113	как его	1	4
114	в самой	3	4
115	или как	1	4
116	к тому	4	4
117	и это	3	4
118	в словах	3	4
119	из одного	3	4
120	по мере	6	4
121	этот вопрос	2	4
122	только в	25	4
123	так как	21	4
124	с другой	7	4
125	на этот	2	4
126	более того	1	4
127	не на	1	4
128	то есть	42	4
129	не могут	4	4
130	и нет	1	4
131	но это	5	4
132	в результате	1	4
133	между ними	1	4
134	речи и	10	4
135	совершенно не	1	4
136	что в	22	4
137	но эти	2	4
138	связи между	2	3
139	должна быть	3	3
140	той же	3	3
141	что если	3	3
142	в единстве	2	3
143	не была	1	3
144	в виду	2	3
145	здесь нет	1	3
146	мы будем	2	3
147	что так	1	3
148	за пределы	2	3
149	в одной	1	3
150	стороны и	2	3
151	когда он	1	3
152	более или	1	3
153	только на	3	3
154	глубины души	1	3
155	это не	7	3
156	эту минуту	1	3
157	в жизни	3	3
158	переходим к	2	3
159	или менее	1	3
160	и их	3	3
161	в их	2	3
162	образом и	2	3
163	даже в	1	3
164	в одно	2	3
165	в отношении	1	3
166	она не	3	3
167	на него	3	3
168	себе самом	1	3
169	ничего не	1	3
170	во всем	4	3
171	могут быть	9	3
172	не менее	6	3
173	но при	3	3
174	можно было	1	3
175	так и	13	3
176	если бы	14	3
177	и даже	4	3
178	с ним	3	3
179	там в	1	3
180	в различных	1	3
181	между тем	5	3
182	что и	6	3
183	и только	2	3
