N	3gram	Bakhtin_fo_1	OGranits
1	с точки зрения	2	5
2	не может быть	3	4
3	по отношению к	3	3
4	вполне понятно что	4	3
5	одно и то	3	3
6	мы можем поставить	1	2
7	в самом деле	1	2
8	в зависимости от	1	2
9	можем поставить вопрос	1	2
10	в данном случае	1	2
11	с одной стороны	2	2
12	и то же	3	2
13	с самого начала	2	2
14	в том что	2	2
15	в другом месте	1	1
16	том что в	1	1
17	в своих руках	1	1
18	в одном ряду	1	1
19	само собой разумеется	2	1
20	а вовсе не	1	1
21	в виду что	1	1
22	равно как и	2	1
23	не физическое тело	1	1
24	одно из проявлений	1	1
25	в отличие от	2	1
26	в этом отношении	3	1
27	может быть и	2	1
28	в значительной мере	1	1
29	вместе с ними	1	1
30	важное значение имеет	1	1
31	для того чтобы	5	1
32	в особенности в	1	1
33	так же как	2	1
34	уже видели как	1	1
35	а также и	2	1
36	не входит в	1	1
37	не касаемся здесь	1	1
38	быть и речи	1	1
39	мы не касаемся	1	1
40	и как бы	1	1
41	в этот момент	1	1
42	в связи с	5	1
43	автора и его	1	1
44	прежде всего в	1	1
45	все то что	2	1
46	мы уже видели	1	1
47	в тех случаях	1	1
48	вступает в свои	1	1
49	в свои права	1	1
50	в разных местах	1	1
51	смысле слова и	1	1
52	то же время	9	1
53	собой разумеется что	2	1
54	узком смысле слова	1	1
55	та или иная	1	1
56	включает в себя	1	1
57	не только на	1	1
58	то что имеет	1	1
59	но в то	1	1
60	первое и последнее	1	1
61	тех случаях когда	1	1
62	в то же	6	1
63	в последнем счете	1	1
64	человека и его	7	1
65	как и в	2	1
