N	2gram	Tiupa_Teor_1	FransuaR
1	и в	18	40
2	то есть	12	18
3	и его	8	17
4	прежде всего	2	16
5	в этом	8	15
6	в романе	3	15
7	не только	16	13
8	в его	6	13
9	и не	13	13
10	вовсе не	3	12
11	что в	9	12
12	как и	4	11
13	но и	9	11
14	таким образом	3	10
15	как мы	1	10
16	и т.п	4	10
17	в сущности	1	9
18	он не	3	9
19	в них	2	9
20	может быть	17	9
21	и до	1	8
22	той же	1	8
23	и на	1	8
24	отношение к	5	8
25	все эти	2	8
26	в том	16	8
27	у него	1	8
28	но в	9	8
29	то же	7	7
30	в своем	4	7
31	в виду	5	7
32	до нас	1	7
33	в одном	2	7
34	и др	1	7
35	во всех	1	6
36	в самом	4	6
37	в этих	3	6
38	в то	6	6
39	же время	5	6
40	связи с	1	6
41	в той	2	6
42	в своей	6	6
43	здесь и	1	5
44	в году	1	5
45	в нем	4	5
46	в основе	3	5
47	и для	2	5
48	в особенности	1	5
49	те же	1	5
50	начала и	1	5
51	в литературе	2	5
52	мы видим	1	5
53	для него	2	5
54	то что	3	5
55	не было	1	5
56	а не	9	5
57	в связи	1	5
58	как раз	2	5
59	в своих	1	5
60	также и	1	4
61	в нашем	4	4
62	жизнью и	1	4
63	в мире	19	4
64	было бы	1	4
65	ни в	2	4
66	том что	9	4
67	в их	2	4
68	даже в	3	4
69	того чтобы	1	4
70	в области	4	4
71	у нас	2	4
72	о том	1	4
73	и о	4	4
74	так в	4	4
75	роль в	2	4
76	особенно в	1	4
77	и здесь	2	4
78	а также	6	4
79	один из	2	4
80	только на	1	4
81	из них	1	4
82	так как	1	4
83	и даже	2	4
84	и глубже	1	4
85	и потому	2	4
86	в данном	8	4
87	все это	2	4
88	в культуре	2	4
89	в мировой	1	4
90	с его	5	3
91	по отношению	4	3
92	отличие от	6	3
93	в этой	3	3
94	и как	2	3
95	и к	3	3
96	шире и	1	3
97	в себе	9	3
98	при этом	12	3
99	для понимания	2	3
100	но дело	1	3
101	об этом	2	3
102	но именно	1	3
103	в отличие	6	3
104	их в	3	3
105	для этого	1	3
106	в таких	1	3
107	дело не	2	3
108	между жизнью	1	3
109	здесь не	1	3
110	в ее	5	3
111	не подлежит	1	3
112	можно было	1	3
113	если бы	3	3
114	в другом	3	3
115	никак не	1	3
116	в значительной	1	3
117	между тем	5	3
118	нуждается в	1	3
119	что и	2	3
120	во всей	1	3
121	еще не	4	3
122	только в	6	3
123	так и	10	3
124	в конце	2	3
125	тем что	1	3
126	для того	1	3
127	нашем примере	1	3
128	сказать что	3	3
129	жизнь в	1	3
130	в частности	16	3
131	не может	4	3
132	вместе с	2	3
133	как в	5	3
134	такого рода	8	3
135	как бы	5	3
136	в более	1	3
137	и от	1	3
138	а в	13	3
139	слово в	1	3
140	между ними	4	3
141	они не	1	3
142	том числе	2	3
143	одним из	2	2
144	например в	1	2
145	связана с	1	2
146	того же	3	2
147	тем же	1	2
148	по преимуществу	4	2
149	включая и	1	2
150	при анализе	1	2
151	на них	1	2
152	за него	1	2
153	но не	9	2
154	что он	1	2
155	имеет в	2	2
156	в которой	2	2
157	в целом	3	2
158	он в	1	2
159	из этих	3	2
160	раз в	1	2
161	говорят о	1	2
162	на его	1	2
163	в первой	5	2
164	и вот	3	2
165	свидетельствует о	1	2
166	на этом	1	2
