N	2gram	Bakhtin_Pr_1	IolandNe
1	стр и	1	7
2	и с	4	3
3	должен быть	1	2
4	и не	34	2
5	достоевского а	1	2
6	достоевского стр	1	2
7	в этом	25	2
8	записок из	3	2
9	он не	4	2
10	творчества достоевского	7	2
11	что в	8	2
12	ничего не	6	2
13	о достоевском	12	2
14	же это	1	1
15	себя в	3	1
16	его произведения	1	1
17	все это	7	1
18	автора и	5	1
19	остался незаконченным	1	1
20	автор не	1	1
21	нисколько не	2	1
22	а для	1	1
23	и в	23	1
24	только что	1	1
25	и о	3	1
26	в эту	1	1
27	я не	3	1
28	то и	2	1
29	них не	1	1
30	бы в	3	1
31	как только	1	1
32	и со	1	1
33	было не	1	1
34	с другой	2	1
35	достоевского она	1	1
36	это было	1	1
37	очень своеобразный	1	1
38	человеке и	1	1
39	а в	7	1
40	художественного творчества	2	1
41	так то	1	1
42	того что	2	1
43	в художественном	2	1
44	не дает	3	1
45	и широко	1	1
46	на котором	2	1
47	а с	1	1
48	другой стороны	2	1
49	утверждает что	1	1
50	о творчестве	1	1
51	и наказания	1	1
52	с героем	1	1
53	и еще	1	1
54	не так	1	1
55	для него	15	1
56	роман остался	1	1
57	в основе	5	1
58	что для	2	1
59	самого достоевского	6	1
60	в значительной	1	1
61	был человек	1	1
62	говорить о	2	1
63	могло бы	1	1
64	и сам	2	1
65	слишком много	1	1
66	есть только	1	1
67	отношению к	11	1
68	так и	10	1
69	от этого	1	1
70	произведения и	1	1
71	литература о	3	1
72	того чтобы	4	1
73	братья карамазовы	1	1
74	достоевского с	7	1
75	во многом	1	1
76	никогда не	5	1
77	его личности	2	1
78	из подполья	11	1
79	жизни и	6	1
80	преступления и	1	1
81	для других	2	1
82	тем что	3	1
83	в целом	4	1
84	по поводу	1	1
85	по отношению	11	1
86	достоевском обогатилась	1	1
87	в них	3	1
88	все эти	8	1
89	по существу	4	1
90	очерк и	1	1
91	не кто	1	1
92	со всеми	1	1
93	с любым	1	1
94	если бы	10	1
95	для того	2	1
