N	2gram	Medvedev_S_1	Hudozhes
1	в мире	1	23
2	и не	1	16
3	в том	5	15
4	и в	3	15
5	не только	3	15
6	в частности	2	13
7	может быть	2	13
8	и его	1	12
9	а в	1	12
10	в этом	5	11
11	но не	1	11
12	отношению к	2	10
13	так и	1	10
14	но и	2	10
15	то же	2	10
16	по отношению	2	10
17	как бы	2	10
18	в его	3	9
19	я и	1	7
20	в то	1	7
21	с другой	1	7
22	же время	1	6
23	не может	1	6
24	что в	2	6
25	не в	3	6
26	том что	2	6
27	между ними	1	5
28	то что	2	5
29	только в	2	5
30	еще не	2	4
31	место в	1	4
32	прежде всего	1	4
33	к которому	2	4
34	в своей	1	4
35	между тем	1	4
36	в этих	1	4
37	и как	1	4
38	как и	1	3
39	таким образом	2	3
40	объекта и	1	3
41	его в	1	3
42	иначе говоря	1	3
43	что он	1	3
44	это не	1	3
45	в целом	1	3
46	конечном счете	1	3
47	литературы как	1	3
48	в конечном	1	3
49	и что	2	3
50	далеко не	2	3
51	в области	1	3
52	в данном	1	3
53	все эти	1	2
54	но она	1	2
55	вовсе не	1	2
56	в этой	1	2
57	с ним	1	2
58	право на	1	2
59	даже в	1	2
60	дело не	2	2
61	по себе	1	2
62	или даже	2	2
63	том и	1	2
64	в противном	1	2
65	но как	1	2
66	и о	1	2
67	за пределы	2	2
68	сама по	1	2
69	истории литературы	10	2
70	противном случае	1	2
71	это и	2	2
72	в чем	1	2
73	в силу	1	2
74	и потому	1	2
75	а с	1	2
76	в них	1	2
77	одной стороны	1	2
78	у него	1	2
79	именно в	1	2
80	с одной	1	2
81	тому что	1	2
82	о том	1	2
83	могут оказаться	1	2
84	тем более	2	2
85	и по	1	2
86	говоря иначе	1	2
87	и более	1	2
88	столь же	1	1
89	о литературе	3	1
90	может не	1	1
91	бы они	1	1
92	когда мы	1	1
93	бы в	1	1
94	для нас	3	1
95	в связи	1	1
96	в него	1	1
97	границы и	1	1
98	эти два	1	1
99	ни были	1	1
100	в область	1	1
101	от окружающих	1	1
102	связи с	1	1
103	крайней мере	1	1
104	не было	1	1
105	зависит от	1	1
106	наконец в	1	1
107	настоящее время	1	1
108	что это	1	1
109	отнюдь не	1	1
110	вступает в	1	1
111	в конце	2	1
112	в настоящее	1	1
113	только то	1	1
114	не дает	1	1
115	все же	1	1
116	от друга	1	1
117	на отдельные	1	1
118	ли не	1	1
119	те же	1	1
120	без этого	1	1
121	в строгом	1	1
122	время в	1	1
123	все то	1	1
124	между собой	1	1
125	а тем	1	1
126	но только	1	1
127	в таких	1	1
128	быть не	1	1
129	изучение художественных	1	1
130	он ни	1	1
131	художественных произведений	1	1
132	более чем	3	1
133	к изучению	1	1
134	к субъекту	1	1
135	они не	1	1
136	ни одно	1	1
137	но одно	1	1
138	ведь это	2	1
139	в сущности	1	1
140	один из	1	1
141	же по	1	1
142	никогда не	1	1
143	все это	7	1
144	представить себе	1	1
145	что все	1	1
146	они ни	1	1
147	для этого	1	1
148	писатель как	1	1
149	в котором	1	1
150	есть процесс	1	1
151	не от	1	1
152	он говорит	1	1
153	может служить	1	1
154	искусство слова	1	1
155	и будет	1	1
156	по крайней	1	1
157	себе чтобы	1	1
158	в результате	2	1
159	еще и	1	1
160	как совокупность	1	1
161	только для	1	1
162	же этот	1	1
163	что автор	1	1
164	в систему	1	1
165	и есть	1	1
166	что она	1	1
167	тем же	1	1
168	было бы	2	1
169	друг от	1	1
170	именно такого	1	1
171	как будто	2	1
172	в каждом	1	1
173	опираясь на	1	1
174	перед нами	1	1
175	она может	2	1
