N	3gram	Trubetskoy_1	RusskieA
1	в том что	3	18
2	состоит в том	1	13
3	в данном случае	1	6
4	для того чтобы	5	6
5	вместе с тем	8	4
6	так же как	3	4
7	о том что	4	4
8	мы видели что	1	4
9	в отличие от	1	3
10	не может быть	1	3
11	только тогда когда	1	3
12	тем не менее	3	2
13	но вместе с	2	2
14	в то время	1	2
15	после того как	1	2
16	с одной стороны	7	2
17	его уже не	1	1
18	а между тем	1	1
19	не может не	1	1
20	и по своим	1	1
21	могут рассматриваться как	1	1
22	потому что в	1	1
23	иметь в виду	1	1
24	более или менее	5	1
25	с одним из	2	1
26	в настоящее время	1	1
27	о том как	1	1
28	те и другие	2	1
29	но далеко не	1	1
30	не отличаются от	1	1
31	но все это	2	1
32	в первую очередь	1	1
33	а так как	3	1
34	в этом отношении	2	1
35	таким образом в	2	1
36	как эти боги	1	1
37	а вместе с	1	1
38	как бы олицетворение	1	1
39	но и как	1	1
40	может быть и	2	1
41	ни с одним	1	1
42	во всяком случае	6	1
43	на русской почве	2	1
44	смысле этого слова	1	1
45	в разные стороны	1	1
46	и в этом	2	1
47	всяком случае не	3	1
48	не только как	1	1
49	с ней и	1	1
50	что здесь имеется	1	1
51	данном случае мы	1	1
52	она живет в	1	1
53	том что они	1	1
54	с другой стороны	1	1
55	того момента когда	1	1
56	в свою очередь	1	1
57	тем и другим	1	1
58	в связь с	1	1
59	совершенно иной характер	1	1
60	связан и другой	1	1
61	можно сказать что	2	1
62	с тем и	2	1
63	на то что	2	1
64	так как эти	1	1
65	но не с	1	1
66	к новой жизни	1	1
67	и таким образом	3	1
68	религии в которых	1	1
69	во всех других	1	1
70	это и есть	1	1
