N	3gram	Savitsky_P_1	Myshleni
1	в том что	4	21
2	с точки зрения	3	18
3	для того чтобы	1	10
4	с одной стороны	3	7
5	заключается в том	2	7
6	во всяком случае	1	6
7	не может быть	1	6
8	по сравнению с	1	5
9	в том числе	2	3
10	в отличие от	1	3
11	в собственном смысле	1	3
12	том числе и	1	3
13	том что в	1	2
14	мы видим в	1	2
15	более или менее	1	2
16	в этом смысле	1	2
17	одной стороны и	2	2
18	хотя бы и	1	2
19	если бы мы	1	2
20	само по себе	1	2
21	друг с другом	1	2
22	что в этом	1	1
23	о котором говорит	1	1
24	к этой последней	1	1
25	и в качестве	1	1
26	именно потому что	1	1
27	что с точки	1	1
28	тот или иной	1	1
29	мы не будем	1	1
30	или хотя бы	1	1
31	где бы ни	1	1
32	и то что	1	1
33	и в частности	1	1
34	в применении к	1	1
35	вопрос об отношении	1	1
36	там где он	1	1
37	не в том	1	1
38	сами по себе	3	1
39	если мы не	1	1
40	и тем самым	1	1
41	с другой стороны	1	1
42	так же как	1	1
43	в частности в	1	1
44	в борьбе с	1	1
45	и теперь в	1	1
46	в отрыве от	1	1
47	за то что	1	1
48	как одна из	1	1
49	в известном смысле	1	1
50	и тем более	1	1
