N	4gram	Potebnia_M_2	EvropaiE
1	в то же время	2	14
2	с одной стороны и	1	6
3	бы то ни было	1	4
4	само по себе не	1	2
5	дело в том что	1	1
6	одного и того же	6	1
7	и то и другое	1	1
8	и та и другая	1	1
9	в том смысле что	1	1
10	один и тот же	1	1
11	и связанное с ним	1	1
12	можно сказать даже что	1	1
13	в то время как	3	1
14	между тем в одном	1	1
15	в том случае если	1	1
16	что само по себе	1	1
17	в большей или меньшей	1	1
18	на то что в	2	1
19	но само по себе	1	1
20	не заключает в себе	2	1
21	и во многих других	1	1
