N	3gram	Tiupa_Disk_2	Problema
1	по отношению к	4	19
2	не может быть	3	11
3	с точки зрения	2	6
4	в отличие от	12	5
5	между тем как	1	5
6	и прежде всего	2	5
7	в большинстве случаев	1	5
8	в данном случае	6	4
9	с другой стороны	1	4
10	в конечном счете	1	4
11	в самом деле	1	3
12	в иных случаях	1	3
13	бы то ни	1	3
14	в основе своей	2	3
15	в применении к	1	3
16	все то что	1	3
17	с одной стороны	4	3
18	то же время	5	3
19	в том что	6	3
20	в то же	4	3
21	тем не менее	1	3
22	в чем не	1	2
23	можно сказать что	1	2
24	ни в чем	1	2
25	и не может	2	2
26	и в то	1	2
27	и в частности	1	2
28	то ни было	1	2
29	не могут быть	1	2
30	мы имеем дело	1	2
31	не совпадает с	1	2
32	того или иного	1	2
33	так и в	3	2
34	той или иной	3	2
35	в этом отношении	4	2
36	и может быть	2	1
37	чего бы то	1	1
38	но в большинстве	1	1
39	только таким путем	1	1
40	к себе самому	1	1
41	прежде всего следует	1	1
42	не говоря уже	1	1
43	подобно тому как	2	1
44	мы ничего не	1	1
45	одной стороны и	2	1
46	говоря уже о	1	1
47	до известной степени	1	1
48	и не к	1	1
49	которое может быть	1	1
50	и в современной	1	1
51	при этом в	2	1
52	и именно в	1	1
53	по аналогии с	1	1
54	отнюдь не является	1	1
55	художественного произведения как	1	1
56	в своем творчестве	1	1
57	в значительной степени	1	1
58	нет дела до	1	1
59	а также и	1	1
60	в равной степени	1	1
61	и как бы	2	1
62	не в том	1	1
63	о том какое	1	1
64	в мире в	2	1
65	лицом к лицу	1	1
66	в свое время	2	1
67	то что в	1	1
68	принципиально не может	1	1
69	равно как и	1	1
70	бытия в его	1	1
71	не может обладать	1	1
72	та или иная	1	1
73	то есть в	1	1
74	я нахожу себя	1	1
75	значимости то есть	1	1
76	как и в	5	1
77	целом и в	1	1
78	дело в том	2	1
