N	3gram	Medvedev_F_2	Literetu
1	то же время	5	7
2	в то же	5	7
3	в этом отношении	7	5
4	в отличие от	2	5
5	не говоря уже	1	4
6	в данном случае	1	4
7	с одной стороны	1	4
8	в том что	2	4
9	с точки зрения	7	3
10	говоря уже о	1	3
11	не может быть	10	3
12	особое место в	1	2
13	как например в	1	2
14	в самом деле	5	2
15	потому что не	1	2
16	самим собой но	1	2
17	бы то ни	1	2
18	но и в	3	2
19	из того что	1	2
20	в том чтобы	1	2
21	так или иначе	1	2
22	а не как	1	2
23	с другой стороны	3	2
24	и тем самым	1	2
25	тем что он	1	2
26	что иное как	1	1
27	и в прозе	1	1
28	органической связи с	1	1
29	как бы не	1	1
30	на самом деле	3	1
31	новые и новые	1	1
32	и там где	1	1
33	исследования в области	1	1
34	исполнения и восприятия	1	1
35	только в том	1	1
36	же время в	1	1
37	вместе с тем	4	1
38	по аналогии с	1	1
39	и т п	9	1
40	во всей ее	1	1
41	самого по себе	1	1
42	именно в этом	1	1
43	вместе с ними	1	1
44	рассматривается с точки	1	1
45	в значительной степени	3	1
46	не что иное	1	1
47	а лишь поскольку	1	1
48	но при этом	1	1
49	искусства с точки	1	1
50	это и есть	1	1
51	в связи с	10	1
52	не тем что	1	1
53	но и с	1	1
54	для того чтобы	3	1
55	и теперь эта	1	1
56	более или менее	1	1
57	художественного произведения в	2	1
58	все новые и	1	1
59	в свою очередь	1	1
60	одним из первых	1	1
61	ничего общего с	1	1
62	по аналогии со	1	1
63	в историю литературы	1	1
64	при этом не	1	1
65	к тому что	2	1
66	сама по себе	1	1
67	тем не менее	1	1
68	слово как таковое	1	1
