N	3gram	Voloshinov_1	Istorich
1	с другой стороны	2	8
2	с одной стороны	2	7
3	в связи с	1	4
4	тем не менее	1	4
5	так же как	1	3
6	не может быть	4	3
7	для того чтобы	1	3
8	по отношению к	3	2
9	в особенности в	1	2
10	в данном случае	2	2
11	если бы мы	1	2
12	и вместе с	1	2
13	но так как	2	2
14	таким образом мы	1	2
15	в том что	2	2
16	на то что	1	2
17	как и в	1	2
18	отражается еще в	1	1
19	иметь в виду	1	1
20	в виду что	1	1
21	в античной греции	1	1
22	об этом говорит	1	1
23	на самом деле	1	1
24	с точки зрения	5	1
25	в зависимости от	2	1
26	и тем что	1	1
27	в отличие от	1	1
28	то же время	1	1
29	с этой точки	1	1
30	и в индии	1	1
31	постановка вопроса о	1	1
32	что едва ли	1	1
33	может быть не	1	1
34	состоит в том	1	1
35	в одном случае	1	1
36	мы уже видели	1	1
37	этой точки зрения	1	1
38	но тем не	1	1
39	может быть это	1	1
40	само по себе	1	1
41	уже видели как	1	1
42	хотя бы в	1	1
43	на этом мы	1	1
44	с самого начала	2	1
45	в самом деле	2	1
46	подобно тому как	1	1
47	в то же	1	1
48	в себя как	1	1
49	его роль в	1	1
50	же представляет себе	1	1
