1	до сих пор	5	9
2	в том что	16	9
3	для того чтобы	5	6
4	в самом деле	2	6
5	в свою очередь	1	6
6	о том что	11	4
7	с самого начала	3	4
8	к тому же	2	4
9	в то же	1	4
10	то же время	1	4
11	здесь нет и	1	3
12	и т п	3	3
13	с точки зрения	2	3
14	тем не менее	2	3
15	вместе с тем	5	3
16	во всяком случае	3	3
17	и речи о	1	3
18	нет и речи	1	3
19	речь идет о	3	3
20	в связи с	1	3
21	по отношению к	1	3
22	то ни было	2	2
23	что он не	4	2
24	с другой стороны	3	2
25	по сравнению с	1	2
26	то обстоятельство что	4	2
27	из того же	1	2
28	вполне возможно что	1	2
29	в этом случае	1	2
30	в этом отношении	9	2
31	т е в	1	2
32	в то время	1	2
33	но все же	2	2
34	бы то ни	2	2
35	в конце концов	1	2
36	так или иначе	1	2
37	но вместе с	1	1
38	том что она	1	1
39	того чтобы показать	1	1
40	говоря уже о	1	1
41	в том числе	1	1
42	у меня в	2	1
43	ни малейшего намека	1	1
44	одному и тому	1	1
45	на этот счет	1	1
46	в том же	2	1
47	после того как	4	1
48	то что он	2	1
49	так и в	2	1
50	нет ни одного	1	1
51	в виду что	1	1
52	не похож на	1	1
53	по этому поводу	2	1
54	середины х годов	1	1
55	себе отчет в	1	1
56	можно предполагать что	1	1
57	но столь же	1	1
58	в том чтобы	1	1
59	в отношении к	1	1
60	но и здесь	2	1
61	в зависимости от	1	1
62	появления в печати	2	1
63	не имеет ничего	1	1
64	что у него	1	1
65	к тому что	5	1
66	и тому же	1	1
67	отцу и сыну	1	1
68	в отличие от	2	1
69	и т д	6	1
70	в свое время	1	1
71	ничего общего с	1	1
72	бы он не	1	1
73	сих пор они	1	1
74	лет до того	1	1
75	не говоря уже	1	1
76	ему все же	1	1
77	в г в	3	1
78	более или менее	2	1
79	шесть лет спустя	1	1
80	с полным правом	1	1
81	как раз в	2	1
82	а то что	1	1
83	пор они не	1	1
84	малейшего намека на	1	1
85	и для самого	1	1
86	в первую очередь	1	1
87	в обоих случаях	1	1
88	о чем ты	1	1
89	и представляют собой	1	1
90	и по существу	1	1
91	вопрос о том	3	1
92	что и для	1	1
93	хотя это обстоятельство	1	1
94	в ответ на	1	1
95	на то что	2	1
96	на себя внимание	2	1
97	обращает на себя	3	1
98	и совершенно не	1	1
99	и в этом	2	1
100	имеет ничего общего	1	1
101	но как раз	1	1
102	в настоящее время	1	1
103	за то что	2	1
