N	4gram	Losev_Vlad_3	Problema
1	не что иное как	1	3
2	а с другой стороны	2	3
3	в то время как	2	3
4	дело в том что	4	2
5	также и то что	2	2
6	с такой точки зрения	1	1
7	означает не что иное	1	1
8	этому поводу необходимо сказать	1	1
9	же в конце концов	1	1
10	и в том числе	1	1
11	стоит на точке зрения	1	1
12	в результате чего вся	1	1
13	и вместе с тем	2	1
14	бы то ни было	1	1
15	в том что он	1	1
16	во что бы то	2	1
17	указать хотя бы на	1	1
18	бы то ни стало	2	1
19	свидетельствует о том что	2	1
20	нам представляется что здесь	1	1
21	что бы то ни	2	1
22	с этой точки зрения	1	1
23	и то и другое	1	1
24	еще и потому что	2	1
25	и в этом смысле	3	1
26	достаточно указать хотя бы	1	1
27	поводу необходимо сказать что	1	1
28	мы должны сказать что	1	1
29	по этому поводу необходимо	1	1
30	с начала до конца	1	1
31	в то же время	2	1
32	в том что и	1	1
