N	4gram	Tiupa_Anal_1	Hudozhes
1	в то же время	6	8
2	но в то же	2	3
3	в такой же мере	1	2
4	только в том что	1	1
5	специфически человеческий способ существования	1	1
6	том и состоит что	1	1
7	на самом же деле	1	1
8	в том и состоит	1	1
9	одна и та же	1	1
10	в том случае если	1	1
11	с этой точки зрения	1	1
12	в том что он	2	1
13	состоит в том что	3	1
14	в самом деле в	1	1
15	и того и другого	2	1
16	при таком взгляде на	1	1
17	не может претендовать на	1	1
18	в полном соответствии с	1	1
19	во времени и пространстве	3	1
20	и состоит что он	1	1
