N	2gram	Potebnia_M_2	Retstnzi
1	не может	12	4
2	и в	24	3
3	один из	2	2
4	если в	3	2
5	в особенности	1	1
6	себе все	1	1
7	лучше всего	1	1
8	и не	19	1
9	тому что	2	1
10	не только	15	1
11	связи с	6	1
12	от связи	1	1
13	бы на	1	1
14	во второй	1	1
15	языка как	1	1
16	но и	9	1
17	и заставляет	1	1
18	не менее	5	1
19	с другими	5	1
20	тех же	1	1
21	ничего кроме	1	1
22	именно с	1	1
23	по своим	1	1
24	в ней	3	1
25	может и	1	1
26	с теми	2	1
27	в то	6	1
28	с точки	1	1
29	и на	8	1
30	вопрос что	1	1
31	при сравнении	1	1
32	для него	10	1
33	мы видим	2	1
34	понятно не	1	1
35	влияния на	2	1
36	в языке	3	1
37	сравнении с	2	1
38	на нее	1	1
39	важность этой	1	1
40	в выборе	1	1
41	к тому	1	1
42	а не	18	1
43	его от	1	1
44	может быть	23	1
45	в его	2	1
46	он в	1	1
47	же время	2	1
48	то же	12	1
49	и все	3	1
50	из этих	4	1
51	можно назвать	2	1
52	если бы	11	1
53	в каждом	2	1
54	бы в	2	1
