N	2gram	Ircho_Kome_3	slovoVRo
1	и в	22	41
2	в нем	3	30
3	и т	4	28
4	т п	4	23
5	могут быть	1	19
6	во всех	2	17
7	не только	5	16
8	и не	21	16
9	точки зрения	4	16
10	но и	4	16
11	а не	4	15
12	то же	7	14
13	и на	2	14
14	в то	6	14
15	и его	6	14
16	в пределах	2	14
17	может быть	6	14
18	не может	3	14
19	в сущности	2	13
20	в его	8	13
21	в этом	8	12
22	до конца	4	12
23	же время	5	12
24	как бы	3	12
25	так и	4	11
26	язык и	1	10
27	в большинстве	1	10
28	все эти	1	9
29	таким образом	12	9
30	как в	2	8
31	но в	5	8
32	на его	2	8
33	с точки	3	8
34	как мы	2	8
35	или в	1	8
36	может не	1	8
37	прежде всего	5	8
38	отношение к	5	7
39	все же	4	7
40	в слове	1	7
41	в своей	5	7
42	не в	4	7
43	вовсе не	4	7
44	с ним	5	7
45	на фоне	1	7
46	все они	1	7
47	во всяком	3	7
48	того же	6	6
49	при этом	7	6
50	это не	2	6
51	в них	3	6
52	к своему	2	6
53	в отношении	4	6
54	только в	1	6
55	и даже	3	6
56	а в	7	6
57	отношении к	1	6
58	и к	3	5
59	в самом	9	5
60	т д	1	5
61	с другими	2	5
62	далеко не	3	5
63	всяком случае	3	5
64	все это	5	5
65	в основе	2	5
66	со своим	1	5
67	не на	1	5
68	к нему	5	5
69	как его	1	5
70	с другой	4	5
71	на своем	1	5
72	одним из	2	4
73	в ней	4	4
74	еще не	6	4
75	с его	3	4
76	за пределы	2	4
77	перед нами	1	4
78	и наконец	1	4
79	в которой	3	4
80	не как	2	4
81	в каждом	1	4
82	и с	4	4
83	как и	3	4
84	речь на	1	4
85	в их	2	4
86	том же	1	4
87	и для	4	4
88	пределах того	1	4
89	жанра в	1	4
90	ничего не	3	4
91	все его	1	4
92	один из	3	4
93	ли он	1	4
94	с одной	3	4
95	одной стороны	3	4
96	и все	2	4
97	и потому	1	4
98	и от	1	4
99	в смысле	1	4
100	известной степени	2	4
101	другой стороны	2	4
102	или к	1	3
103	в первом	1	3
104	в зависимости	1	3
105	зависимости от	1	3
106	в своем	8	3
107	не требует	1	3
108	более или	1	3
109	из этих	1	3
110	выражение в	1	3
111	в себе	4	3
112	и сам	5	3
113	и может	1	3
114	его в	8	3
115	было бы	3	3
116	он не	5	3
117	или менее	1	3
118	в понимании	1	3
119	и ее	2	3
120	точку зрения	1	3
121	которые в	1	3
122	она не	2	3
123	не могло	1	3
124	никогда не	3	3
125	и здесь	4	3
126	не могут	2	3
127	в других	3	3
128	к тому	6	3
129	и этим	3	3
130	тем чем	1	3
131	формы и	1	3
