N	3gram	Vygotskiy__2	EvropaiE
1	с точки зрения	10	16
2	в то же	2	15
3	то же время	2	14
4	в отношении к	3	12
5	с одной стороны	1	8
6	в том что	17	6
7	с этой точки	1	5
8	так же как	4	5
9	этой точки зрения	2	5
10	для того чтобы	13	5
11	бы то ни	2	4
12	то ни было	1	4
13	того или иного	2	4
14	само по себе	3	4
15	в этом смысле	1	3
16	же как и	1	3
17	в этом отношении	5	3
18	можно было бы	4	3
19	друг с другом	1	3
20	во всяком случае	2	3
21	между тем в	1	3
22	можно сказать что	1	3
23	заключает в себе	2	3
24	только в том	4	2
25	и в частности	1	2
26	в данном случае	4	2
27	дело идет о	1	2
28	тому или иному	2	2
29	заключается в том	10	2
30	не более чем	1	2
31	по сравнению с	2	2
32	с другой стороны	2	2
33	не может быть	8	2
34	по себе не	1	2
35	в свою очередь	2	2
36	на то что	6	2
37	друг от друга	1	2
38	и не имеет	1	2
39	и того же	1	1
40	а не к	1	1
41	и поэтому если	1	1
42	но так как	2	1
43	более или менее	1	1
44	что для него	1	1
45	по самой природе	1	1
46	что же касается	1	1
47	как и другие	1	1
48	совершенно очевидно что	1	1
49	том случае если	4	1
50	представление о том	2	1
51	в отличие от	1	1
52	но и в	1	1
53	и та же	1	1
54	к тому или	1	1
55	и для всех	1	1
56	с тем что	3	1
57	кроме того что	1	1
58	мы увидим что	1	1
59	на этот вопрос	2	1
60	в противном случае	1	1
61	то или иное	1	1
62	и различие между	1	1
63	сводится именно к	1	1
64	и в этих	1	1
65	не имеет никаких	1	1
66	во внимание что	1	1
67	в обмене с	1	1
68	в которых может	1	1
69	значит ли это	1	1
70	и тот же	1	1
71	она никогда не	1	1
72	склонен думать что	1	1
73	не могут быть	1	1
74	в том случае	4	1
75	ни на минуту	1	1
76	принадлежат к числу	1	1
77	то время как	2	1
78	что в таком	1	1
79	в связи с	1	1
80	не зависящего от	1	1
81	одна и та	1	1
82	вместо того чтобы	1	1
83	указать на то	1	1
84	один и тот	1	1
85	в переводе на	1	1
86	том смысле что	1	1
87	в то время	3	1
88	не только ее	1	1
89	связи с этим	1	1
90	и тем самым	1	1
91	это значит что	2	1
92	в каком они	1	1
93	оно не может	1	1
94	выходит за пределы	1	1
95	ли он в	1	1
96	именно потому что	1	1
97	одного и того	1	1
98	имеют существенное значение	1	1
99	что оно не	1	1
100	ли это что	1	1
101	к тому что	2	1
102	в том смысле	1	1
103	на то чтобы	1	1
104	он считает что	1	1
105	и т д	2	1
