N	2gram	Medvedev_V_1	VerxiiNi
1	и в	26	26
2	таким образом	31	22
3	с тем	3	18
4	в этом	26	15
5	вместе с	7	15
6	точки зрения	3	13
7	как бы	5	12
8	в том	15	11
9	из этих	7	10
10	не только	25	10
11	может быть	22	10
12	связи с	4	9
13	в области	2	9
14	но и	10	9
15	что в	10	9
16	но не	2	8
17	в общем	2	8
18	главным образом	7	8
19	и у	2	8
20	с другой	11	8
21	и не	19	8
22	как на	3	8
23	но в	2	7
24	из них	9	7
25	том что	8	7
26	потому что	1	7
27	с одной	2	7
28	то что	6	7
29	одной стороны	2	7
30	все же	5	6
31	все эти	6	6
32	в себе	6	6
33	всяком случае	1	6
34	к тому	4	6
35	так и	5	6
36	о том	10	6
37	в конце	3	6
38	что и	3	6
39	несмотря на	1	6
40	и потому	2	6
41	все это	10	6
42	во всяком	1	6
43	отношение к	1	5
44	сих пор	1	5
45	и к	3	5
46	тому же	1	5
47	в силу	11	5
48	лишь в	2	5
49	или менее	6	5
50	по крайней	2	5
51	не имеет	1	5
52	того чтобы	3	5
53	никогда не	4	5
54	для того	3	5
55	образом в	3	5
56	в его	14	5
57	крайней мере	2	5
58	до сих	1	5
59	а не	7	5
60	и для	2	5
61	так же	3	5
62	одной из	1	5
63	более или	6	5
64	том числе	2	5
65	в котором	3	4
66	то же	10	4
67	в течение	2	4
68	целый ряд	1	4
69	в самом	4	4
70	в этой	4	4
71	и по	3	4
72	что все	3	4
73	то есть	1	4
74	с другими	2	4
75	он не	2	4
76	далеко не	2	4
77	в которых	3	4
78	в то	6	4
79	в нем	6	4
80	а в	3	4
81	числе и	2	4
82	что оно	3	4
83	и что	1	4
84	только в	7	4
85	и вместе	1	4
86	на этот	1	4
87	не может	17	4
88	из которых	2	4
89	и от	3	4
90	в этих	1	4
91	во время	3	4
92	что он	4	4
93	в виде	1	4
94	же как	2	3
95	петра великого	1	3
96	не вполне	2	3
97	так называемые	1	3
98	если в	2	3
99	к сожалению	2	3
100	в своем	8	3
101	когда он	3	3
102	и как	3	3
103	в которой	2	3
104	так или	1	3
105	к достижению	1	3
106	и если	1	3
107	и при	5	3
108	если бы	3	3
109	не менее	2	3
110	как о	2	3
111	но по	1	3
112	можно сказать	4	3
113	в значительной	3	3
114	того что	3	3
115	но с	2	3
116	хотя бы	19	3
117	в качестве	11	3
118	уже не	1	3
119	что эти	1	3
120	для него	8	3
121	в одном	4	3
122	к ним	1	3
123	и даже	2	3
124	или иначе	1	3
125	своей индивидуальности	1	3
126	в связи	3	3
127	с этой	1	3
128	в результате	5	3
129	у них	2	3
130	конце концов	2	3
131	отношению к	7	3
132	и другие	1	3
133	к этому	9	3
134	в таком	1	3
135	без сновидений	1	2
136	одним из	5	2
137	связана с	2	2
138	и это	1	2
139	его не	3	2
140	смотреть на	1	2
141	мы имеем	3	2
142	бы например	1	2
143	грань между	1	2
144	еще не	2	2
145	с его	3	2
146	во всех	6	2
147	силы и	1	2
148	оно является	2	2
149	или иное	1	2
150	относится к	2	2
151	общего с	1	2
152	некоторые из	3	2
153	и наконец	2	2
154	ни один	7	2
155	он в	1	2
156	на то	1	2
157	они в	1	2
158	не как	1	2
159	из него	1	2
160	его от	2	2
161	его можно	1	2
162	заключает в	1	2
163	них не	4	2
164	с целью	1	2
165	с которого	1	2
166	в них	4	2
167	творца и	1	2
168	не всегда	1	2
169	мы видели	3	2
170	признать что	1	2
171	взгляд на	1	2
172	которые в	2	2
173	не в	6	2
174	как от	2	2
175	того момента	1	2
176	вплоть до	2	2
177	самого начала	1	2
178	этими двумя	1	2
179	тогда когда	2	2
180	не могло	1	2
181	только не	2	2
182	в самой	1	2
183	же время	5	2
184	в русском	1	2
185	так например	2	2
186	этом отношении	13	2
187	ли это	2	2
188	начиная с	2	2
189	не могут	7	2
190	отличается от	2	2
191	той или	1	2
192	утверждать что	4	2
193	ничего общего	1	2
194	значительной мере	3	2
195	то или	1	2
196	приводит к	5	2
197	в образе	2	2
198	связанных с	1	2
199	по сравнению	1	2
200	для этого	1	2
201	мысль о	2	2
202	в виду	4	2
203	с того	1	2
204	а также	1	2
205	в пользу	2	2
206	между тем	5	2
207	быть даже	1	2
208	вслед за	2	2
209	наконец в	1	2
210	исторического развития	1	2
211	быть и	1	2
212	один из	5	2
213	большею частью	1	2
214	очень много	1	2
215	между этими	1	2
