N	3gram	Ircho_Kome_1	Tvorches
1	и т д	4	11
2	то же время	4	7
3	в то же	4	7
4	в соответствии с	1	4
5	по отношению к	3	3
6	до сих пор	2	3
7	но прежде всего	1	2
8	в отличие от	1	2
9	едва ли не	3	2
10	так же как	1	2
11	в том же	1	2
12	том же году	1	2
13	во всяком случае	2	2
14	с другой стороны	5	2
15	и т п	5	2
16	о том что	3	2
17	в одном из	4	2
18	в том что	9	2
19	на чьей стороне	1	1
20	том что в	1	1
21	в чем не	1	1
22	хотя и не	1	1
23	по случайному совпадению	1	1
24	в том числе	1	1
25	может и не	1	1
26	же как и	1	1
27	о том где	1	1
28	в первую очередь	2	1
29	и в дальнейшем	1	1
30	может быть в	1	1
31	а может быть	1	1
32	можно было бы	1	1
33	в этот период	1	1
34	в году он	1	1
35	со всех сторон	1	1
36	в применении к	1	1
37	с х годов	1	1
38	как будто бы	1	1
39	из действующих лиц	2	1
40	в чем же	1	1
41	но при этом	1	1
42	к тому же	5	1
43	т д все	1	1
44	что у него	1	1
45	но это еще	1	1
46	соответствии с этим	1	1
47	потому что они	1	1
48	в стороне от	1	1
49	на себя в	1	1
50	в то время	5	1
51	ни в чем	1	1
52	не означает что	1	1
53	и особенно в	1	1
54	при этом что	2	1
55	с самого начала	1	1
56	т i с	1	1
57	никто бы не	1	1
58	именно потому что	2	1
59	лицо к которому	1	1
60	и прежде всего	1	1
61	в предисловии к	1	1
62	и в том	1	1
63	мы не находим	1	1
64	на то чтобы	1	1
65	в высшей степени	1	1
66	как и в	2	1
