N	2gram	Berdyaev_N_1	Literetu
1	а не	17	20
2	и в	16	19
3	может быть	7	17
4	своего рода	1	13
5	и не	11	11
6	как и	7	10
7	в том	8	10
8	и т.п	2	10
9	но и	3	10
10	в этом	7	9
11	в то	2	9
12	в мире	3	9
13	не может	16	9
14	такого рода	2	9
15	не только	5	8
16	и даже	2	8
17	с другой	3	8
18	том что	2	7
19	так и	2	7
20	с одной	2	7
21	то что	4	7
22	и на	2	6
23	в себе	2	6
24	не менее	4	6
25	себя в	2	6
26	одной стороны	2	6
27	я не	2	5
28	но не	2	5
29	он не	8	5
30	одна из	2	5
31	для всех	1	5
32	у нас	1	5
33	вместе с	2	5
34	мы не	2	4
35	того же	1	4
36	человека в	1	4
37	не в	6	4
38	в области	1	4
39	в ней	5	4
40	еще в	1	4
41	в его	1	4
42	не случайно	1	4
43	тем что	1	4
44	прежде всего	4	4
45	жизни в	3	4
46	другой стороны	2	4
47	жизни и	8	4
48	что в	9	4
49	в сущности	1	3
50	как я	1	3
51	во всех	3	3
52	в этой	1	3
53	в нем	5	3
54	всех своих	1	3
55	перестает быть	4	3
56	такой же	2	3
57	права на	2	3
58	том чтобы	2	3
59	не столько	1	3
60	никогда не	6	3
61	и его	1	3
62	не с	1	3
63	и с	2	3
64	быть может	4	3
65	а в	2	3
66	так как	1	3
67	себе и	1	3
68	и жизни	1	3
69	по существу	2	3
70	но это	6	3
71	и для	4	3
72	что он	1	3
73	как на	1	3
74	же как	2	2
75	и до	1	2
76	зависимость от	1	2
77	на себя	1	2
78	с ее	5	2
79	жизни как	2	2
80	во имя	15	2
81	есть по	1	2
82	в истории	3	2
83	и к	5	2
84	но в	2	2
85	духовной культуры	1	2
86	подобно тому	3	2
87	искусство не	1	2
88	в жизни	5	2
89	в них	4	2
90	нет в	1	2
91	с тем	3	2
92	он и	1	2
93	и еще	1	2
94	в такой	1	2
95	не к	2	2
96	мысли и	2	2
97	по преимуществу	1	2
98	не по	1	2
99	в основе	3	2
100	могут быть	2	2
101	все еще	1	2
102	для того	1	2
103	для себя	1	2
104	в виду	1	2
105	не могу	1	2
106	в ее	3	2
107	еще не	3	2
108	для этого	2	2
109	о том	4	2
110	и что	2	2
111	а также	1	2
112	и только	1	2
113	в русском	2	2
114	было бы	1	2
115	друг друга	1	2
116	потому что	4	2
117	уже не	2	2
118	уже в	1	2
119	свидетельствует о	1	2
120	из них	1	2
121	в конце	1	2
122	у него	2	2
123	себя и	1	2
124	что не	1	2
125	не было	4	2
126	в россии	3	2
127	как это	2	2
128	жизни а	1	2
129	к жизни	3	2
130	тому как	3	2
131	быть не	1	2
132	и нет	1	2
133	а к	1	2
134	хотя бы	2	2
135	с ним	1	2
136	не знает	6	2
137	к этой	1	2
138	все что	1	2
139	том числе	1	2
140	что образ	1	1
141	это и	2	1
142	перед лицом	1	1
143	должна быть	3	1
144	из всех	1	1
145	на место	1	1
146	советской россии	1	1
147	в дальний	1	1
148	без религиозного	1	1
149	в будущем	2	1
150	личности с	1	1
151	во тьму	1	1
152	себя а	1	1
153	в чем	1	1
154	истории в	5	1
155	он легко	1	1
156	то он	1	1
157	в новом	2	1
158	отличие от	1	1
159	жизни все	2	1
160	за пределы	3	1
161	как другие	1	1
162	как в	3	1
163	вперед а	1	1
164	есть в	2	1
165	власти от	1	1
166	с душой	1	1
167	от этого	1	1
168	в этот	1	1
169	в самом	1	1
170	от бога	6	1
171	все эти	2	1
172	приобретает характер	1	1
173	в известном	1	1
174	к достижению	1	1
175	если есть	1	1
176	особое место	1	1
177	но он	1	1
178	в ночи	3	1
179	в статье	1	1
180	слова а	1	1
181	оно должно	1	1
182	мысли мои	1	1
183	в духовной	2	1
184	жизни для	1	1
185	в глубине	1	1
186	а по	1	1
187	необходимой для	1	1
188	потому оно	1	1
189	на протяжении	2	1
190	с другими	1	1
191	это не	4	1
192	он есть	1	1
193	культуры есть	1	1
194	более широкого	1	1
195	сами эти	1	1
196	люди не	2	1
197	всю жизнь	1	1
198	русского народа	1	1
199	и было	2	1
200	менее чем	1	1
201	в этих	1	1
202	в своей	3	1
203	и культуры	2	1
204	начиная со	1	1
205	место в	2	1
206	дело мирового	1	1
207	в отличие	1	1
208	имя человека	1	1
209	времени не	1	1
210	обращение к	2	1
211	их в	1	1
212	что этот	1	1
213	и вся	1	1
214	был понят	1	1
215	не имеет	4	1
216	революции и	3	1
217	от жизни	1	1
218	свободы и	2	1
219	их будет	1	1
220	христианство и	1	1
221	того и	1	1
222	явление в	1	1
223	мира нового	1	1
224	по своей	1	1
225	во всем	1	1
226	так называемый	1	1
227	человека так	1	1
228	для другого	1	1
229	бытия как	1	1
230	не могут	1	1
231	и вполне	1	1
232	это конечно	1	1
233	числе и	1	1
234	к тому	3	1
235	жизни этих	1	1
236	в наши	3	1
237	более не	2	1
238	того чтобы	2	1
239	на нем	1	1
240	думаю что	1	1
241	культуры и	7	1
242	приводит к	1	1
243	культуры на	1	1
244	превыше всего	1	1
245	и когда	1	1
246	в образе	1	1
247	можно было	2	1
248	на нее	1	1
249	творческий процесс	1	1
250	на заре	1	1
251	мы в	1	1
252	и трудно	1	1
253	же мере	1	1
254	нас и	1	1
255	движения и	1	1
256	власти в	1	1
257	вот почему	2	1
258	это я	1	1
259	еще при	1	1
260	не живут	1	1
261	можно сказать	1	1
262	времени в	2	1
263	должно было	2	1
264	нет у	1	1
265	переходит в	1	1
266	мы вновь	1	1
267	и мы	4	1
268	но тут	1	1
269	нового типа	2	1
270	это порождение	1	1
271	борьбы за	1	1
272	в новой	7	1
273	в обществе	2	1
274	и вражды	1	1
275	тоской по	1	1
276	существе своем	1	1
277	в эти	1	1
278	путь которым	1	1
279	этой системе	1	1
280	вопроса о	1	1
281	от других	1	1
282	мир в	1	1
283	земли и	1	1
284	слова в	1	1
285	не для	1	1
286	бытия и	1	1
287	к той	1	1
288	ее на	1	1
289	лишь для	1	1
290	нет и	2	1
291	не желающего	1	1
292	к которому	1	1
293	к более	2	1
294	свободы от	2	1
295	стремится к	3	1
296	есть лишь	4	1
297	все время	2	1
298	не всегда	1	1
299	культуры мы	1	1
300	что мы	1	1
301	человеческого но	1	1
302	истории к	4	1
303	россия в	1	1
304	имея в	1	1
305	все более	1	1
306	эти слова	1	1
307	так же	2	1
308	и потому	4	1
309	мы говорим	2	1
310	дня и	3	1
311	наряду с	3	1
312	явилось в	1	1
313	с миром	1	1
314	ни одно	1	1
315	в своем	1	1
316	в это	1	1
317	историческое время	1	1
318	и от	2	1
319	в смысле	2	1
320	в недрах	1	1
321	мире а	1	1
322	за его	1	1
323	и воля	1	1
324	всего мира	1	1
325	в христианстве	1	1
326	мира и	2	1
327	на началах	1	1
328	которая в	1	1
329	особого рода	1	1
330	всего что	1	1
331	и все	4	1
332	ни к	2	1
333	в зависимость	1	1
334	как того	1	1
335	вот этот	1	1
336	исторического пути	1	1
337	к ее	3	1
338	нет ничего	1	1
339	в ночь	1	1
340	жизнь не	1	1
341	а во	1	1
342	от всех	1	1
343	в свою	1	1
344	переход от	1	1
345	культуры в	5	1
346	есть и	1	1
347	который в	2	1
348	пред этой	1	1
349	мышления не	1	1
350	него как	1	1
351	который не	1	1
352	можно назвать	2	1
353	они не	1	1
