N	2gram	Losev_Vlad_1	Retstnzi
1	не может	6	4
2	и в	31	3
3	один из	4	2
4	нет и	2	1
5	и можно	2	1
6	больше ничего	1	1
7	в особенности	4	1
8	и не	17	1
9	тому что	1	1
10	не только	24	1
11	ни один	1	1
12	связи с	1	1
13	бы на	1	1
14	точки зрения	2	1
15	во второй	1	1
16	но и	19	1
17	не менее	2	1
18	с другими	1	1
19	тех же	2	1
20	ничего кроме	1	1
21	не из	2	1
22	именно с	2	1
23	по своим	3	1
24	в ней	1	1
25	с теми	1	1
26	на месте	1	1
27	в то	8	1
28	от общей	1	1
29	вообще всякого	1	1
30	и на	3	1
31	для него	7	1
32	и больше	1	1
33	сравнении с	1	1
34	к тому	3	1
35	а не	1	1
36	его от	1	1
37	может быть	6	1
38	вполне понятно	1	1
39	несмотря на	4	1
40	еще большим	1	1
41	в его	12	1
42	с самых	1	1
43	он в	3	1
44	же время	4	1
45	то же	6	1
46	и все	4	1
47	из этих	2	1
48	если бы	1	1
49	в каждом	1	1
50	бы в	1	1
