N	2gram	Propp_Russ_1	Poddanst
1	не только	22	17
2	и в	36	14
3	и не	6	12
4	в области	3	11
5	в этом	12	10
6	н а	5	10
7	в качестве	3	9
8	но в	2	9
9	то же	3	9
10	в том	17	9
11	в пределах	1	8
12	н и	1	8
13	только в	4	7
14	в то	1	7
15	в о	1	7
16	в ней	2	6
17	было бы	1	6
18	е с	1	6
19	но и	16	6
20	быть может	1	6
21	россии в	1	5
22	в которых	5	5
23	может быть	8	5
24	и пр	2	5
25	и о	1	5
26	а н	18	5
27	если бы	1	4
28	а также	3	4
29	в своем	3	4
30	и к	3	4
31	как бы	5	4
32	том что	19	4
33	не может	4	4
34	г о	1	4
35	и потому	2	4
36	что в	19	4
37	мы должны	2	4
38	же в	1	4
39	а в	9	4
40	то что	6	4
41	из рамок	1	4
42	и т	10	3
43	мы не	6	3
44	между тем	7	3
45	это не	10	3
46	хотя и	2	3
47	и как	2	3
48	тот же	1	3
49	с ними	5	3
50	в себе	1	3
51	в нем	2	3
52	в россии	4	3
53	с тем	8	3
54	что мы	1	3
55	и без	1	3
56	с точки	3	3
57	но не	2	3
58	наряду с	1	3
59	могут быть	2	3
60	т е	17	3
61	потому что	10	3
62	точки зрения	3	3
63	и это	1	2
64	например в	2	2
65	переход от	2	2
66	другие народы	1	2
67	было в	1	2
68	которую мы	1	2
69	которое в	1	2
70	никак не	1	2
71	в xix	10	2
72	во всех	4	2
73	говорить о	1	2
74	если в	3	2
75	в общем	1	2
76	во всей	1	2
77	в е	2	2
78	отнюдь не	2	2
79	в русском	4	2
80	с этим	2	2
81	и дети	1	2
82	того что	4	2
83	ii в	2	2
84	бы ни	1	2
85	и и	2	2
86	думать что	3	2
87	есть в	1	2
88	в начале	1	2
89	главным образом	2	2
90	и других	7	2
91	в его	2	2
92	из них	8	2
93	в виде	6	2
94	не к	1	2
95	в силу	2	2
96	по-видимому не	1	2
97	и с	2	2
98	точек зрения	1	2
99	м и	1	2
100	и мы	1	2
101	и тем	1	2
102	в жизни	2	2
103	для них	3	2
104	в них	6	2
105	церкви и	1	2
106	не было	2	2
107	а не	2	2
108	не столько	1	2
109	не будем	3	2
110	не менее	3	2
111	своем значении	1	2
112	все это	6	2
113	между прочим	2	2
114	не о	1	2
115	одна из	4	2
116	русский народ	1	2
117	для нас	6	2
118	православия и	1	2
119	и г	1	2
120	подошел к	1	2
121	в частности	2	2
122	как на	1	2
123	также и	1	1
124	в русских	1	1
125	же как	1	1
126	коммунистической партии	1	1
127	с другом	1	1
128	которого в	2	1
129	тем и	2	1
130	как известно	2	1
131	на основе	1	1
132	как по	2	1
133	тем же	1	1
134	во времена	1	1
135	в иных	1	1
136	по преимуществу	1	1
137	к жизни	3	1
138	известных в	1	1
139	на две	1	1
140	первой половине	1	1
141	должна быть	1	1
142	собственном смысле	1	1
143	на заре	1	1
144	его нет	1	1
145	поэзии и	1	1
146	те же	1	1
147	не с	3	1
148	в и	17	1
149	представляют собою	1	1
150	еще в	4	1
151	что дело	1	1
152	для этого	2	1
153	в собственном	1	1
154	находится в	2	1
155	не вполне	1	1
156	на себя	2	1
157	и ее	1	1
158	и здесь	2	1
159	широкой и	1	1
160	характер этого	2	1
161	не означает	2	1
162	настоящее время	3	1
163	и что	4	1
164	еще не	4	1
165	и на	10	1
166	он был	2	1
167	и который	1	1
168	в различных	2	1
169	с его	1	1
170	это имеет	2	1
171	связь между	2	1
172	с трудом	1	1
173	не все	1	1
174	борьбе с	1	1
175	более как	1	1
176	что и	7	1
177	отличие от	1	1
178	не просто	2	1
179	них в	2	1
180	также в	3	1
181	вносили в	1	1
182	м е	4	1
183	в истории	1	1
184	что во	1	1
185	судить по	2	1
186	на будущее	1	1
187	болгар сербов	1	1
188	известно не	1	1
189	все же	5	1
190	в отрыве	1	1
191	обе эти	1	1
192	мы видим	2	1
193	взывает к	1	1
194	силам и	2	1
195	в какой	2	1
196	в народе	1	1
197	не связаны	1	1
198	но церковь	1	1
199	нужно обратиться	1	1
200	в которой	1	1
201	что это	3	1
202	или его	1	1
203	их не	2	1
204	представляет собой	4	1
205	из этих	4	1
206	в эти	4	1
207	xx в	2	1
208	наша задача	1	1
209	сливаются в	1	1
210	уже в	1	1
211	во многих	5	1
212	говорить об	1	1
213	в большинстве	2	1
214	только на	3	1
215	в жертву	1	1
216	этот вывод	1	1
217	на то	1	1
218	можно думать	1	1
219	т д	9	1
220	мы знаем	1	1
221	вероятно что	1	1
222	одно из	5	1
223	не как	1	1
224	и должна	1	1
225	к ним	3	1
226	это значение	1	1
227	мы можем	2	1
228	каждый из	1	1
229	и по	8	1
230	прежде чем	1	1
231	с собой	4	1
232	основные черты	1	1
233	и духовные	1	1
234	в каждом	2	1
235	представляют собой	7	1
236	а затем	1	1
237	связанные с	3	1
238	не были	2	1
239	возможно что	1	1
240	из всех	1	1
241	на этой	2	1
242	большинстве случаев	2	1
243	силы они	1	1
244	его в	1	1
245	чем тот	1	1
246	связаны с	3	1
247	весь мир	1	1
248	а с	4	1
249	есть несколько	1	1
250	народов как	1	1
251	что не	1	1
252	в это	3	1
253	но есть	2	1
254	по всему	1	1
255	обратиться к	1	1
256	на свои	1	1
257	е а	2	1
258	далеко не	3	1
259	в этой	1	1
260	на основании	1	1
261	как и	10	1
262	с которым	1	1
263	в свете	2	1
264	говорится о	2	1
265	относящиеся к	2	1
266	и многие	2	1
267	в развитии	1	1
268	в одно	1	1
269	прямо на	1	1
270	скота и	1	1
271	есть некоторая	1	1
272	должна была	2	1
273	и м	14	1
274	что если	1	1
275	и теми	1	1
276	и при	1	1
277	древней руси	2	1
278	так же	3	1
279	представить себе	1	1
280	всяком случае	1	1
281	ли они	1	1
282	многих случаях	2	1
283	что именно	2	1
284	место в	1	1
285	на каждом	3	1
286	в отличие	1	1
287	к поздним	1	1
288	в данном	1	1
289	вопрос о	1	1
290	можно говорить	2	1
291	и смысла	1	1
292	европы в	2	1
293	думается что	1	1
294	теми же	1	1
295	что было	1	1
296	восстановить и	1	1
297	в отдельности	2	1
298	и эти	1	1
299	и более	2	1
300	в прошлом	2	1
301	там где	2	1
302	друг с	1	1
303	и наоборот	1	1
304	о русском	1	1
305	и менее	1	1
306	xix в	13	1
307	в древней	2	1
308	прибегают к	1	1
309	что есть	1	1
310	и другим	2	1
311	в основном	3	1
312	эти сроки	1	1
313	стремление к	1	1
314	она не	2	1
315	иной раз	1	1
316	не будут	1	1
317	но для	1	1
318	для каждого	1	1
319	тогда когда	1	1
320	случаях когда	1	1
321	можно судить	1	1
322	не имеет	6	1
323	рассматривать как	1	1
324	и всегда	1	1
325	о котором	1	1
326	в настоящее	3	1
327	христа и	3	1
328	не более	1	1
329	перечисленных выше	1	1
330	что по	4	1
331	в г	4	1
332	и теперь	1	1
333	в этих	3	1
334	можно рассматривать	1	1
335	вознесение и	1	1
336	только как	1	1
337	в иной	1	1
338	является и	1	1
339	что все	1	1
340	этом не	1	1
341	есть и	1	1
342	ли не	1	1
343	в других	11	1
344	и самих	1	1
345	более широкой	1	1
346	и другие	13	1
347	вместе с	10	1
348	именно здесь	1	1
349	что от	2	1
350	во всяком	1	1
351	они не	1	1
352	из чего	1	1
