N	3gram	Ircho_Kome_3	KFilosof
1	по отношению к	3	21
2	с точки зрения	3	10
3	может быть только	1	6
4	по отношению ко	2	4
5	и в своей	1	3
6	но и здесь	1	3
7	и в этом	1	3
8	к нему в	1	3
9	для нас важно	1	2
10	имеем в виду	1	2
11	в соответствии с	1	2
12	бы то ни	2	2
13	то ни было	2	2
14	то же время	4	2
15	вопрос о том	1	2
16	в то же	4	2
17	тем не менее	3	2
18	в том что	9	2
19	на то что	1	1
20	то что и	1	1
21	он должен быть	1	1
22	ничем не отличаются	1	1
23	и совершенно не	1	1
24	равно как и	1	1
25	чтобы дать в	1	1
26	в настоящее время	1	1
27	а с точки	1	1
28	в том же	1	1
29	как этот человек	1	1
30	что и для	1	1
31	не было и	1	1
32	не отличаются от	1	1
33	в зависимости от	1	1
34	независимо от того	1	1
35	в основе своей	1	1
36	несмотря на то	1	1
37	что и она	1	1
38	вместе с тем	3	1
39	я оказался в	1	1
40	любви к человеку	1	1
41	и в то	1	1
42	здесь мы видим	1	1
43	в первом случае	1	1
44	в этот момент	1	1
45	едва ли кто-нибудь	1	1
46	а тот в	1	1
47	всю свою жизнь	1	1
48	со стороны его	1	1
49	во всяком случае	3	1
50	к которой мы	1	1
51	для того чтобы	6	1
52	и всякий другой	1	1
53	сказать в какой	1	1
54	же самое что	1	1
55	все это может	1	1
56	в свою очередь	6	1
57	и не должен	1	1
58	в конечном счете	2	1
59	и не знает	1	1
60	не менее в	1	1
61	если бы не	1	1
62	к тому что	1	1
63	и в его	1	1
64	что и в	2	1
65	то же самое	3	1
