N	3gram	Bakhtin_sl_1	VLabPisa
1	и т д	5	15
2	в этом отношении	1	13
3	и т п	23	9
4	с другой стороны	4	8
5	не может быть	1	8
6	более или менее	3	6
7	в зависимости от	3	5
8	хотя бы и	3	5
9	то же время	12	5
10	в то же	12	5
11	не могут быть	2	4
12	можно сказать что	1	4
13	равно как и	1	4
14	в том что	1	4
15	и в то	5	3
16	вот что говорит	1	3
17	о том же	2	3
18	большей или меньшей	4	3
19	о том что	1	3
20	в одном из	1	3
21	к тому что	2	3
22	которая не может	1	2
23	не может не	5	2
24	до сих пор	2	2
25	таким образом в	3	2
26	точном смысле слова	1	2
27	можно было бы	2	2
28	и не может	2	2
29	по крайней мере	1	2
30	или меньшей степени	3	2
31	с одной стороны	4	2
32	всего произведения в	1	2
33	во всех этих	1	2
34	в большей или	3	2
35	во всяком случае	5	2
36	в точном смысле	1	2
37	этой точки зрения	1	2
38	не только не	1	2
39	для того чтобы	1	2
40	во всех его	7	2
41	и в другом	2	2
42	и связанное с	1	1
43	может быть включен	1	1
44	хотя может быть	1	1
45	в той или	9	1
46	точки зрения на	3	1
47	но у него	1	1
48	в виду не	1	1
49	то время как	2	1
50	у тургенева и	1	1
51	с этой точки	1	1
52	и во всех	2	1
53	оказывается перед необходимостью	1	1
54	в процессе творчества	1	1
55	но и в	1	1
56	и др и	2	1
57	по аналогии с	1	1
58	прямо и непосредственно	4	1
59	может быть и	1	1
60	в противном случае	1	1
61	со всех сторон	1	1
62	то или иное	1	1
63	одно и то	2	1
64	сводится именно к	1	1
65	ни в какой	1	1
66	отцы и дети	1	1
67	так или иначе	1	1
68	могут быть отнесены	1	1
69	в данном случае	3	1
70	но в то	4	1
71	не только в	2	1
72	в каком направлении	1	1
73	и то же	2	1
74	имеют громадное значение	1	1
75	мы видим что	1	1
76	в поэзии и	1	1
77	предмета в его	1	1
78	в различных его	1	1
79	форм и жанров	1	1
80	а между тем	2	1
81	что они не	1	1
82	того или иного	2	1
83	но по существу	2	1
84	но с другой	1	1
85	имеем в виду	1	1
86	в то время	2	1
87	никогда не может	1	1
88	в свою очередь	2	1
89	те или иные	3	1
90	на то или	1	1
91	они не только	1	1
92	и непосредственно как	1	1
93	как бы сами	1	1
94	между тем это	1	1
95	той или иной	9	1
96	быть включен в	1	1
97	варьируются в зависимости	1	1
98	т п эти	2	1
99	лежит в основе	1	1
100	а как бы	1	1
101	том же о	1	1
102	неизбежно приводит к	1	1
103	между всеми этими	1	1
