N	2gram	Medvedev_I_1	Komedia
1	и в	1	22
2	и не	2	21
3	в этом	2	8
4	если бы	1	8
5	только что	1	7
6	а в	1	7
7	того же	1	6
8	того чтобы	1	6
9	для того	1	6
10	более чем	1	5
11	а по	1	5
12	он не	2	5
13	и сам	1	5
14	что в	2	5
15	по отношению	1	5
16	тем что	1	5
17	все это	1	5
18	с другой	1	4
19	и с	3	4
20	так и	1	4
21	не дает	1	4
22	бы в	1	4
23	перед отцом	1	3
24	говорить о	1	3
25	и тот	1	3
26	от нее	1	3
27	в них	1	3
28	и еще	1	3
29	никогда не	1	3
30	ничего не	2	3
31	нисколько не	1	3
32	не так	1	3
33	отношению к	1	3
34	в целом	1	3
35	не слишком	1	2
36	и без	1	2
37	вплоть до	1	2
38	в основе	1	2
39	в руки	1	2
40	и со	1	2
41	и о	1	2
42	а также	1	2
43	должен быть	2	2
44	к отцу	1	2
45	что для	1	2
46	по существу	1	2
47	только для	1	2
48	другой стороны	1	2
49	с жизнью	1	1
50	свою жену	1	1
51	преступления и	1	1
52	а для	1	1
53	я не	1	1
54	и гоголя	1	1
55	все эти	1	1
56	очевидно что	1	1
57	это был	1	1
58	от этого	1	1
59	в первую	1	1
60	нее и	1	1
61	дает и	1	1
62	них не	1	1
63	это было	1	1
64	а позднее	1	1
65	во многом	1	1
66	стало быть	1	1
67	как смерть	1	1
68	он с	1	1
69	на котором	1	1
70	как только	1	1
71	что при	1	1
72	эпизод с	1	1
73	и та	1	1
74	чтобы доказать	1	1
75	первую очередь	1	1
76	всего творчества	1	1
77	со всеми	1	1
78	не случайно	1	1
79	что последний	1	1
80	творчестве так	1	1
81	стороны он	1	1
82	после смерти	1	1
83	а с	1	1
84	слишком много	1	1
85	видит в	1	1
86	как отец	1	1
87	о творчестве	1	1
88	бы его	1	1
89	жизни и	1	1
90	по поводу	1	1
