N	4gram	Medvedev_F_1	FransuaR
1	в то же время	8	6
2	начала и до конца	2	4
3	но в то же	2	4
4	с начала и до	2	4
5	в том числе и	1	2
6	в настоящее время можно	1	1
7	но все же в	1	1
8	менее всего может быть	1	1
9	в связи со всем	1	1
10	бы то ни было	1	1
11	и не может быть	2	1
12	нашу задачу не входит	1	1
13	и до сих пор	1	1
14	но для этого прежде	1	1
15	заключается в том чтобы	1	1
16	с точки зрения этих	1	1
17	нет и не может	2	1
18	не сделано ни одной	1	1
19	как мы видели является	1	1
20	в нашу задачу не	1	1
21	в том чтобы установить	1	1
22	всех тех действий и	1	1
23	может быть и не	2	1
24	то же время не	1	1
25	в связи с этим	2	1
26	для этого прежде всего	1	1
