N	3gram	Tiupa_Lite_3	Mirosoze
1	не может быть	3	8
2	для того чтобы	1	4
3	что иное как	1	3
4	к тому что	1	3
5	это и есть	1	3
6	к человеку и	1	3
7	не что иное	1	3
8	подобно тому как	2	2
9	в ней есть	1	2
10	но это не	1	2
11	в отношении к	1	2
12	о том что	4	2
13	по отношению к	4	2
14	никогда не бывает	1	2
15	в том что	4	2
16	для него не	1	1
17	органической связи с	1	1
18	он сам не	1	1
19	так и не	1	1
20	с точки зрения	3	1
21	а также в	1	1
22	но и в	2	1
23	между тем как	1	1
24	в себе и	1	1
25	в этом отношении	5	1
26	тому как в	1	1
27	в другом и	1	1
28	на то что	2	1
29	в мире не	2	1
30	который может быть	1	1
31	в значительной степени	1	1
32	которые могли бы	1	1
33	а не только	1	1
34	и не состояться	1	1
35	в xix веке	1	1
36	втором случае человек	1	1
37	я не могу	1	1
38	и в словах	1	1
39	как бы не	1	1
40	той или иной	2	1
41	сама по себе	1	1
42	на самом деле	1	1
43	берет на себя	2	1
44	в этом втором	1	1
45	что он в	1	1
