N	2gram	Vinokur_St_1	Morfolog
1	может быть	15	52
2	и т	30	49
3	т д	21	47
4	таким образом	7	20
5	не может	8	17
6	в этих	2	16
7	т е	15	16
8	могут быть	5	15
9	с этим	3	14
10	и в	44	13
11	в этом	21	13
12	так как	5	12
13	и др	1	12
14	перед нами	1	11
15	то же	5	9
16	мы имеем	2	9
17	так и	9	9
18	этом случае	2	9
19	не всегда	2	9
20	прежде всего	7	9
21	а не	16	9
22	и не	16	9
23	при помощи	2	8
24	что и	6	8
25	с другой	9	8
26	по существу	2	8
27	в результате	3	8
28	вопрос о	4	7
29	и этим	1	7
30	или же	2	7
31	в качестве	4	7
32	представляет собою	2	7
33	в тех	3	7
34	все же	8	7
35	но если	4	7
36	но не	3	6
37	это не	8	6
38	во время	3	6
39	не могут	1	6
40	а также	2	6
41	в форме	1	6
42	в том	36	6
43	а в	17	6
44	мы не	2	5
45	во всех	8	5
46	не все	3	5
47	то что	18	5
48	далеко не	1	5
49	не менее	5	5
50	потому что	6	5
51	или в	1	5
52	образом мы	1	5
53	если мы	1	5
54	как бы	4	5
55	это явление	2	5
56	и другие	1	5
57	также и	9	4
58	увидим ниже	1	4
59	тех же	1	4
60	показать что	1	4
61	то это	3	4
62	что его	1	4
63	если в	2	4
64	как в	13	4
65	хотя и	1	4
66	не только	18	4
67	об этом	3	4
68	его в	2	4
69	было бы	17	4
70	вовсе не	19	4
71	как и	9	4
72	несмотря на	2	4
73	точки зрения	11	4
74	с точки	8	4
75	тем не	2	4
76	на котором	1	4
77	ничего не	2	4
78	тем что	5	4
79	очень часто	3	4
80	в других	2	4
81	как мы	1	4
82	могла бы	1	4
83	д но	4	4
84	видно что	3	4
85	по отношению	3	4
86	случае не	2	4
87	в некоторых	1	4
88	другой стороны	7	4
89	там где	5	4
90	так же	5	4
91	в иных	2	4
92	а если	2	4
93	отношению к	3	4
94	что в	30	4
95	самом деле	11	3
96	на самом	6	3
97	в первом	2	3
98	и для	3	3
99	между собой	1	3
100	целый ряд	2	3
101	но в	10	3
102	с просьбой	1	3
103	в целом	5	3
104	в нашем	1	3
105	он должен	2	3
106	и по	5	3
107	но все	4	3
108	а по	1	3
109	входит в	1	3
110	из них	8	3
111	ни в	3	3
112	в один	1	3
113	том что	29	3
114	в то	9	3
115	в сущности	2	3
116	на него	2	3
117	того чтобы	11	3
118	от того	1	3
119	такие случаи	2	3
120	и другим	1	3
121	на нем	1	3
122	большей частью	1	3
123	то здесь	1	3
124	если бы	9	3
125	очень многое	1	3
126	с того	1	3
127	но и	10	3
128	он не	2	3
129	во втором	4	3
130	значит что	3	3
131	к нему	2	3
132	в какой	3	3
133	в начале	3	3
134	а то	2	3
135	не является	3	3
136	что они	7	3
137	для этой	1	3
138	из которых	1	3
139	но это	6	3
140	кроме того	1	3
141	в последнем	1	3
142	можно назвать	2	3
143	по отдельным	1	2
144	как это	4	2
145	тем же	3	2
146	считаться с	2	2
147	что эти	1	2
148	время как	2	2
149	№ и	1	2
150	совсем не	2	2
151	а с	3	2
152	случай в	1	2
153	и таким	1	2
154	и к	1	2
155	то в	3	2
156	право на	1	2
157	вполне точно	1	2
158	из его	1	2
159	отдельных случаях	1	2
160	не значит	3	2
161	приходим к	1	2
162	можно было	13	2
163	и за	3	2
164	бы они	1	2
165	в другом	3	2
166	где оно	1	2
167	это было	1	2
168	обоих случаях	1	2
169	в ином	1	2
170	то как	1	2
171	ни одной	2	2
172	с тем	1	2
173	случается что	1	2
174	и тогда	2	2
175	для него	6	2
176	и при	1	2
177	что такое	1	2
178	мы приходим	1	2
179	что до	2	2
180	таких случаях	1	2
181	настоящее время	1	2
182	и более	2	2
183	однако в	1	2
184	и наоборот	1	2
185	все эти	5	2
186	в таких	1	2
187	на работу	1	2
188	что эта	2	2
189	в обоих	1	2
190	не имеет	4	2
