N	3gram	Potebnia_M_2	StatiiOP
1	в том что	7	16
2	о том что	1	11
3	и т д	3	6
4	том что он	1	5
5	до сих пор	4	5
6	вместе с тем	1	5
7	для того чтобы	2	5
8	дело в том	1	4
9	обратить внимание на	1	4
10	после того как	2	4
11	в одном из	1	3
12	и т п	3	3
13	с другой стороны	2	3
14	во всяком случае	7	3
15	с самого начала	2	3
16	вопрос о том	1	3
17	только потому что	2	2
18	не только по	2	2
19	сами по себе	7	2
20	в отличие от	1	2
21	бы то ни	1	2
22	то что в	2	2
23	то ни было	1	2
24	и в этом	1	2
25	не в том	2	2
26	то что он	1	2
27	мере в какой	1	2
28	более или менее	8	2
29	так и в	2	2
30	но все же	1	2
31	с тем что	1	2
32	на то что	3	2
33	в том смысле	4	2
34	той мере в	1	2
35	тем не менее	5	2
36	в той мере	1	2
37	или лучше сказать	1	2
38	а между тем	4	1
39	и для самого	1	1
40	на самом деле	2	1
41	но и по	1	1
42	в таком виде	1	1
43	в этом смысле	2	1
44	что и для	1	1
45	что же касается	1	1
46	между тем в	1	1
47	но столь же	1	1
48	сам по себе	4	1
49	при этом и	1	1
50	виде в каком	1	1
51	мы до сих	1	1
52	тому же поводу	1	1
53	одно и то	2	1
54	знал что ему	1	1
55	и сами по	3	1
56	себе отчет в	1	1
57	том смысле что	1	1
58	и то же	2	1
59	имеет ничего общего	1	1
60	по сравнению с	1	1
61	как на самом	2	1
62	в связи с	1	1
63	друг к другу	1	1
64	что у него	1	1
65	на вопрос о	1	1
66	вряд ли можно	1	1
67	и на все	1	1
68	то же время	2	1
69	не то что	1	1
70	в то время	4	1
71	в том чтобы	1	1
72	в свою очередь	6	1
73	в этом случае	1	1
74	ни для кого	1	1
75	на этом основании	1	1
76	ничего общего с	1	1
77	как бы ни	3	1
78	не имеют никакой	1	1
79	в то же	2	1
80	таким образом в	2	1
81	не имеет ничего	1	1
