1	в то же время	4	7
2	и не может быть	1	3
3	и в то же	1	2
4	всех областях идеологического творчества	1	2
5	во всех областях идеологического	1	2
6	и т п в	2	2
7	все более и более	1	1
8	может иметь место в	1	1
9	оно не может быть	1	1
10	могут выйти за пределы	1	1
11	в значительной степени определяется	1	1
12	в зависимости от характера	2	1
13	с той или иной	1	1
14	не могут выйти за	1	1
15	нем и в то	1	1
16	той или иной идеологической	1	1
17	или иной идеологической сферой	1	1
18	как не может быть	1	1
19	не значит конечно что	1	1
20	в том числе и	1	1
21	это не значит конечно	1	1
