N	3gram	Tiupa_Vved_1	TeoriaLi
1	по отношению к	7	8
2	в отличие от	2	7
3	в то же	4	6
4	в том что	3	6
5	то же время	3	6
6	не сводится к	4	5
7	так и не	1	5
8	в данном случае	6	5
9	присутствия в мире	2	5
10	состоит в том	2	4
11	более или менее	2	4
12	в конечном счете	1	4
13	в своем составе	1	3
14	в этом смысле	1	3
15	можно сказать что	1	3
16	с другой стороны	1	3
17	той или иной	2	3
18	тем не менее	3	3
19	в свою очередь	4	3
20	с одной стороны	5	2
21	и тем самым	2	2
22	и не могло	1	2
23	в войне и	2	2
24	следует смешивать с	1	2
25	имеет в своем	1	2
26	в этой системе	1	2
27	как и в	2	2
28	войне и мире	2	2
29	в нашем случае	2	2
30	в противном случае	1	2
31	мастера и маргариты	2	2
32	а с другой	2	2
33	в структуре текста	1	2
34	и того же	1	2
35	в этом мире	1	2
36	в рамках которого	1	2
37	всех без исключения	1	2
38	не следует смешивать	1	2
39	не могло быть	1	2
40	одного и того	1	2
41	в рамках одного	1	2
42	в равной степени	1	2
43	по своей природе	2	2
44	не может быть	3	2
45	тогда как в	1	2
46	мы имеем дело	3	2
47	в соответствии с	6	2
48	во всей его	1	1
49	уже говорилось выше	1	1
50	лишь поименованное в	1	1
51	подобно тому как	2	1
52	как это нередко	1	1
53	а в том	1	1
54	картина мира и	1	1
55	мире и жизни	1	1
56	пределах кадрового единства	1	1
57	и его поступки	1	1
58	в тексте а	1	1
59	в каждый малый	1	1
60	зрения читателя находится	1	1
61	в таком случае	1	1
62	по большей части	3	1
63	и временных примет	1	1
64	малый отрезок времени	1	1
65	вести речь о	1	1
66	картина мира это	1	1
67	все что может	1	1
68	в кадры читательского	1	1
69	не было и	1	1
70	в первой главе	1	1
71	именно такого рода	1	1
72	в том числе	1	1
73	слияние пространственных и	1	1
74	слова в соответствии	1	1
75	по своему происхождению	1	1
76	поступки только раскрывают	1	1
77	может и должен	1	1
78	кадры повествования а	1	1
79	самая тривиальная в	1	1
80	очередь членится на	1	1
81	прежде всего к	1	1
82	в связи с	1	1
83	если говорить о	1	1
84	поименованное в тексте	2	1
85	например так и	1	1
86	и в то	1	1
87	неизбежно принадлежит к	1	1
88	имеет место слияние	1	1
89	ракурс видения в	1	1
90	из того что	1	1
91	сторону индивида и	1	1
92	состав такого кадра	1	1
93	до известной степени	1	1
94	его поступки только	1	1
95	или менее насыщенный	1	1
96	место слияние пространственных	1	1
97	деталей в пределах	1	1
98	в общеязыковом отношении	1	1
99	что может или	1	1
100	единства фразы устанавливает	1	1
101	имеем дело с	2	1
102	внеличную сторону индивида	1	1
103	устанавливает задаваемый читателю	1	1
104	индивида и его	1	1
105	кадра входит лишь	1	1
106	в осмысленном и	1	1
107	формах косвенной речи	1	1
108	же время они	1	1
109	своей судьбы они	1	1
110	здесь мы имеем	1	1
111	мере в какой	2	1
112	собственно говоря и	1	1
113	в евгении онегине	1	1
114	о том что	4	1
115	а не все	2	1
116	в той мере	2	1
117	в настоящее время	1	1
118	отделен от своей	1	1
119	только раскрывают содержание	1	1
120	менее насыщенный деталями	1	1
121	в маркированном положении	3	1
122	деталями кадр внутреннего	1	1
123	кадрового единства фразы	1	1
124	по слову бахтина	1	1
125	входит лишь поименованное	1	1
126	кадры читательского восприятия	1	1
127	читателя находится или	1	1
128	времени в поле	1	1
129	во времени и	1	1
130	начала и конца	1	1
131	движется один отдельный	1	1
132	и мире толстого	1	1
133	можно сказать не	1	1
134	как бы в	1	1
135	а не с	1	1
136	вероятностная картина мира	1	1
137	от своей судьбы	1	1
138	жизни то есть	1	1
139	читательского восприятия в	1	1
140	одного из вероятных	1	1
141	свою очередь членится	1	1
142	судьбы они едины	1	1
143	не менее не	1	1
144	войны и мира	3	1
145	в значительной степени	1	1
146	той мере в	2	1
147	в этом случае	1	1
148	в поле зрения	1	1
149	вследствие того что	1	1
150	каждый малый отрезок	1	1
151	восприятия в каждый	1	1
152	находится или движется	1	1
153	в е годы	1	1
154	и конкретном целом	1	1
155	в кадры повествования	1	1
156	в основе своей	1	1
157	субъекта объекта и	1	1
158	во втором эпизоде	1	1
159	писал в.ф асмус	1	1
160	едва ли не	2	1
161	картина мира которая	1	1
162	задаваемый читателю ракурс	1	1
163	что все люди	1	1
164	существенное значение в	1	1
165	автором в кадры	1	1
166	они едины судьба	1	1
167	и прежде всего	1	1
168	по сути дела	1	1
