N	2gram	Bakhtin_Pr_1	KFilosof
1	может быть	24	43
2	в его	24	39
3	в нем	19	31
4	не может	12	27
5	в бытии	1	26
6	и не	31	26
7	по отношению	8	25
8	и в	29	22
9	в себе	7	21
10	в котором	2	21
11	отношению к	8	21
12	не есть	2	19
13	и его	14	17
14	в ее	1	17
15	а не	22	17
16	только в	10	16
17	в этом	22	13
18	точки зрения	19	13
19	и это	5	12
20	но не	9	12
21	ни в	3	12
22	для него	18	12
23	все эти	9	11
24	как момент	1	11
25	в своей	8	11
26	не в	7	11
27	к нему	6	11
28	во всех	1	10
29	в едином	4	10
30	в своем	8	10
31	это не	9	10
32	с точки	13	10
33	все это	6	10
34	и есть	2	9
35	в их	3	9
36	в целом	6	9
37	его целом	6	9
38	бытия и	1	9
39	но и	14	9
40	как бы	19	9
41	и для	4	9
42	и все	1	9
43	момент его	2	8
44	лишь в	1	8
45	было бы	5	8
46	мир в	3	8
47	если бы	9	8
48	со стороны	1	8
49	не было	4	8
50	жизни и	2	8
51	то что	15	7
52	должен быть	1	7
53	в себя	3	7
54	и здесь	3	7
55	что и	4	7
56	себя в	1	7
57	конечно не	2	7
58	в единстве	6	7
59	вовсе не	7	7
60	быть только	1	7
61	я не	3	6
62	менее всего	6	6
63	отношение к	2	6
64	мира в	5	6
65	он не	5	6
66	не значит	4	6
67	смысл и	1	6
68	в мире	6	6
69	и только	1	6
70	и действительно	1	6
71	совершенно не	1	6
72	уже не	13	6
73	и их	1	6
74	но это	4	6
75	в смысле	2	6
76	в том	8	6
77	мир где	1	5
78	мы имеем	1	5
79	жизни как	1	5
80	но как	3	5
81	все же	9	5
82	но в	7	5
83	не только	15	5
84	то же	14	5
85	но все	5	5
86	его в	6	5
87	как и	12	5
88	должно быть	4	5
89	что я	1	5
90	но эта	4	5
91	не имеет	1	5
92	никогда не	3	5
93	единое и	1	5
94	для себя	2	5
95	ни одно	1	5
96	с ним	5	5
97	именно в	5	5
98	бытия в	3	5
99	его как	4	5
100	там где	10	5
101	в контексте	2	5
102	ее и	1	5
103	в основе	4	5
104	хотя бы	2	5
105	не знает	3	5
106	как его	1	4
107	мира но	2	4
108	при этом	2	4
109	время и	1	4
110	не как	14	4
111	мне в	1	4
112	здесь мы	2	4
113	нем как	1	4
114	бы быть	1	4
115	входит в	7	4
116	меня но	1	4
117	места в	1	4
118	место в	1	4
119	к ним	1	4
120	о нем	9	4
121	в каком	1	4
122	времени и	1	4
123	мира и	7	4
124	познания и	1	4
125	между тем	5	4
126	во всей	2	4
127	могло бы	1	4
128	нисколько не	2	4
129	ни было	2	4
130	в одном	10	4
131	только момент	1	4
132	том что	7	4
133	а в	7	4
134	только как	2	4
135	что в	8	4
136	в своих	3	4
137	самом деле	6	3
138	на самом	5	3
139	этого мира	6	3
140	из его	2	3
141	должна быть	5	3
142	мы не	1	3
143	что это	1	3
144	в ней	2	3
145	во мне	1	3
146	еще не	5	3
147	и на	7	3
148	тем как	4	3
149	но конечно	1	3
150	а следовательно	1	3
151	себе и	3	3
152	нет и	1	3
153	независимо от	1	3
154	ясно и	1	3
155	и этим	3	3
156	бы и	4	3
157	всех этих	2	3
158	для того	1	3
159	и совершенно	1	3
160	из него	1	3
161	в каждом	8	3
162	могла бы	1	3
163	в другом	1	3
164	этом смысле	10	3
165	нет в	1	3
166	рядом с	14	3
167	мира не	2	3
168	в единство	9	3
169	где он	1	3
170	ничего не	5	3
171	ибо все	1	3
172	могут быть	6	3
173	здесь не	1	3
174	мне как	1	3
175	отсюда и	2	3
