N	3gram	Bakhtin_Fr_3	VelikijI
1	за то что	1	3
2	но и в	2	2
3	бы и не	1	2
4	вместо того чтобы	1	2
5	в вопросе о	1	2
6	в том что	1	2
7	но все же	1	1
8	и если за	1	1
9	и вообще в	1	1
10	и до того	1	1
11	хотя бы и	1	1
12	бы то ни	1	1
13	его связь с	3	1
14	и в этом	1	1
15	и не было	2	1
16	все что было	1	1
17	это одна из	1	1
18	в мире и	1	1
19	с другой стороны	1	1
20	в истории и	1	1
21	по сравнению с	2	1
22	в одном образе	1	1
23	и вместе с	1	1
24	не имеет никакой	1	1
25	смысл жизни и	1	1
26	мы видим что	1	1
27	и в духе	1	1
28	как и в	2	1
