N	3gram	Propp_Morf_1	Hudozhes
1	о том что	1	9
2	по отношению к	4	8
3	в том что	3	6
4	к тому что	3	4
5	с точки зрения	2	3
6	в этом отношении	1	3
7	в связи с	8	3
8	тем не менее	4	3
9	как и в	2	3
10	и т д	39	3
11	в тот момент	1	2
12	о том как	1	2
13	что же касается	1	2
14	до сих пор	1	2
15	связи с этим	4	2
16	вместо того чтобы	1	2
17	не может быть	9	2
18	самом деле в	1	2
19	тот момент когда	1	2
20	на то что	2	2
21	не означает что	1	1
22	и там где	1	1
23	состоит в том	2	1
24	на самом деле	4	1
25	том что он	1	1
26	в таком случае	1	1
27	том случае если	1	1
28	с самого начала	1	1
29	до известной степени	1	1
30	в иных случаях	2	1
31	ответить на вопрос	1	1
32	или с того	1	1
33	более или менее	2	1
34	есть на самом	1	1
35	в этой главе	1	1
36	в том случае	1	1
37	можно заметить что	2	1
38	следует отличать от	1	1
39	не потому что	1	1
40	в первом случае	3	1
41	в высшей степени	1	1
42	а также и	3	1
43	имеет ничего общего	1	1
44	между тем в	1	1
45	его и т	1	1
46	приводит к тому	1	1
47	уже не может	1	1
48	во всяком случае	2	1
49	не имеет ничего	1	1
50	на вопрос что	1	1
51	в данном случае	1	1
52	это еще не	1	1
53	т е все	1	1
54	с того что	2	1
55	но все же	3	1
56	прежде всего о	1	1
57	с одной стороны	1	1
58	друг с другом	1	1
59	во многих отношениях	1	1
60	между тем не	1	1
61	и как будто	1	1
62	на первый взгляд	3	1
63	могло бы быть	1	1
